time;player;headline;playerlink;
2/23/2016 12:08:26 AM;Al Horford;Horford had a monster game Monday against the Warriors, dropping in 23 points (10-20 FG, 2-2 FT, 1-4 3Pt), grabbing 16 rebounds and adding six assists, five blocks and three steals in 39 minutes.;http://stats.nba.com/player/player/#!/201143;
2/23/2016 12:08:23 AM;Dennis Schroder;Schroder had another impactful game off the bench Monday against the Warriors, scoring 18 points (8-15 FG, 2-5 3Pt) to go along with six assists and three rebounds in just 18 minutes.;http://stats.nba.com/player/player/#!/203471;
2/22/2016 1:43:24 PM;Jeff Teague;Teague, who suffered a right wrist injury in the third quarter of Saturday's double-overtime loss to the Bucks, has been cleared to play Monday against the Warriors, Chris Vivlamore of the Atlanta Journal-Constitution reports.;http://stats.nba.com/player/player/#!/201952;
2/21/2016 3:08:13 AM;Kent Bazemore;Bazemore was held to two points (1-5 FG, 0-4 3Pt), five rebounds, two assists and two steals in 26 minutes on Saturday in a loss to the Bucks.;http://stats.nba.com/player/player/#!/203145;
2/21/2016 2:43:21 AM;Paul Millsap;Millsap had 27 points (10-24 FG, 2-7 3Pt, 5-8 FT), 11 rebounds, six assists, two blocks and a steal in 46 minutes on Saturday in a loss to the Bucks.;http://stats.nba.com/player/player/#!/200794;
2/21/2016 2:18:12 AM;Dennis Schroder;Schroder scored 25 points (10-19 FG, 3-8 3Pt, 2-2 FT) to go along with 10 assists, eight rebounds, a block and a steal in 40 minutes on Saturday in a loss to the Bucks.;http://stats.nba.com/player/player/#!/203471;
2/20/2016 6:23:13 PM;Kirk Hinrich;Hinrich will be available for Saturday's game against the Bucks, the Atlanta Journal Constitution's Chris Vivlamore reports.;http://stats.nba.com/player/player/#!/2550;
2/20/2016 6:43:14 AM;Jeff Teague;Teague totaled 23 points (9-14 FG, 3-7 3Pt, 2-2 FT), seven assists, two rebounds, and one steal in 29 minutes during the Hawks' 115-111 loss to the Heat on Friday.;http://stats.nba.com/player/player/#!/201952;
2/19/2016 12:23:27 PM;Kirk Hinrich;Hinrich will not play in Friday's game against the Heat, Chris Vivlamore of the Atlanta Journal-Constitution reports.;http://stats.nba.com/player/player/#!/2550;
2/18/2016 3:33:19 PM;Kirk Hinrich;Hinrich has been traded to the Hawks in exchange for a second-round draft pick, Brian Windhorst of ESPN.com reports.;http://stats.nba.com/player/player/#!/2550;
2/17/2016 2:33:19 PM;Tiago Splitter;Splitter (hip) will undergo season-ending surgery on Feb. 25, Chris Vivlamore of the Atlanta Journal-Constitution reports. He's expected to require eight months of recovery time.;http://stats.nba.com/player/player/#!/201168;
2/16/2016 4:53:20 PM;Tiago Splitter;Splitter has elected to undergo season-ending surgery on his right hip, Chris Vivlamore of the Atlanta Journal-Constitution reports.;http://stats.nba.com/player/player/#!/201168;
2/12/2016 7:08:17 PM;Walter Tavares;Tavares was recalled from the D-League on Friday, Chris Vivlamore of the AJC reports.;http://stats.nba.com/player/player/#!/204002;
2/12/2016 4:38:23 PM;Al Horford;Horford will replace the injured Chris Bosh (calf) on the Eastern Conference roster for Sunday's All-Star Game in Toronto, Sports Illustrated reports.;http://stats.nba.com/player/player/#!/201143;
2/12/2016 1:19:41 PM;Mike Muscala;Muscala is averaging 6.2 points, 3.2 rebounds, 1.3 assists, and .5 blocks over 15.3 minutes in February.;http://stats.nba.com/player/player/#!/203488;
2/12/2016 12:53:33 PM;Tim Hardaway;Hardaway posted just seven points (2-11 FG, 1-6 3Pt, 2-2 FT), seven rebounds, and two assists over 49 total minutes across his last four games leading up to the All-Star break.;http://stats.nba.com/player/player/#!/203501;
2/11/2016 3:08:20 AM;Dennis Schroder;Schroder had 18 points (6-10 FG, 3-5 3Pt, 3-4 FT), four assists, two rebounds, and one steal in 18 minutes during the Hawks' 113-90 win over the Bulls on Wednesday.;http://stats.nba.com/player/player/#!/203471;
2/11/2016 3:08:20 AM;Shelvin Mack;Mack missed his lone field goal attempt (0-1 3Pt) while recording one assist and one steal in two minutes during the Hawks' 113-90 win against the Bulls on Wednesday.;http://stats.nba.com/player/player/#!/202714;
2/11/2016 3:08:19 AM;Lamar Patterson;Patterson missed his only field goal attempt (0-1 3Pt), but recorded one assist and one steal in two minutes during the Hawks' 113-90 win versus the Bulls on Wednesday.;http://stats.nba.com/player/player/#!/203934;
2/10/2016 5:08:15 PM;Tiago Splitter;Splitter hasn't ruled out the possibility of undergoing surgery to address his sore right hip, Chris Vivlamore of the Atlanta Journal-Constitution reports.;http://stats.nba.com/player/player/#!/201168;
2/9/2016 12:23:59 PM;Jeff Teague;Teague compiled 21 points (7-18 FG, 3-5 3Pt, 4-7 FT), five assists, three rebounds, and one steal across 34 minutes in Monday's 117-110 overtime loss to the Hawks.;http://stats.nba.com/player/player/#!/201952;
2/9/2016 12:23:59 PM;Kyle Korver;Korver provided 16 points (6-8 FG, 4-6 3Pt), four assists, three rebounds, and two steals across 36 minutes in Monday's 117-110 loss to the Magic.;http://stats.nba.com/player/player/#!/2594;
2/9/2016 1:58:20 AM;Paul Millsap;Millsap managed 22 points (8-18 FG, 3-5 3Pt, 3-6 FT), 13 rebounds, six assists, four steals, and one block in 42 minutes during the Hawks' 117-110 overtime loss to the Magic on Monday.;http://stats.nba.com/player/player/#!/200794;
