time;player;headline;playerlink;
2/23/2016 1:23:29 AM;Jae Crowder;Crowder contributed 27 points (9-15 FG, 4-6 3Pt, 5-5 FT), nine rebounds, three assists, and two steals in 37 minutes during the Celtics' 124-122 loss to the Timberwolves on Monday.;http://stats.nba.com/player/player/#!/203109;
2/23/2016 1:23:26 AM;Marcus Smart;Smart had 17 points (6-15 FG, 0-4 3Pt, 5-5 FT), seven assists, four rebounds, and four steals in 29 minutes during the Celtics' 124-122 loss to the Timberwolves on Monday.;http://stats.nba.com/player/player/#!/203935;
2/22/2016 7:53:16 AM;Marcus Smart;Smart played 32 minutes off the bench in Sunday's win at Denver, posting 10 points, four steals, two assists and two rebounds.;http://stats.nba.com/player/player/#!/203935;
2/21/2016 8:38:18 PM;Evan Turner;Turner totaled 17 points (6-8 FG, 1-2 3Pt, 4-4 FT), nine rebounds, five assists, and one steal in 27 minutes during the Celtics' 121-101 win versus the Nuggets on Sunday.;http://stats.nba.com/player/player/#!/202323;
2/21/2016 8:13:20 PM;Avery Bradley;Bradley scored 20 points (8-15 FG, 3-8 3Pt, 1-1 FT) and added two rebounds and one assist in 32 minutes during the Celtics' 121-101 win over the Nuggets on Sunday.;http://stats.nba.com/player/player/#!/202340;
2/21/2016 8:13:16 PM;Jared Sullinger;Sullinger recorded 16 points (7-12 FG, 0-1 3Pt, 2-3 FT), 11 rebounds, and five assists in 23 minutes during the Celtics' 121-101 victory versus the Nuggets on Sunday.;http://stats.nba.com/player/player/#!/203096;
2/21/2016 7:48:18 PM;Isaiah Thomas;Thomas went for 22 points (7-16 FG, 3-7 3Pt, 5-5 FT), 12 assists, three rebounds, two steal, and one block in 32 minutes during the Celtics' 121-101 win against the Nuggets on Sunday.;http://stats.nba.com/player/player/#!/202738;
2/20/2016 10:53:15 AM;Isaiah Thomas;Thomas poured in 25 points (7-19 FG, 2-6 3Pt, 9-10 FT), six assists, two rebounds and a steal over 32 minutes in Friday's 111-93 loss to the Jazz.;http://stats.nba.com/player/player/#!/202738;
2/20/2016 10:53:15 AM;Jae Crowder;Crowder pitched in 17 points (6-11 FG, 1-3 3Pt, 4-4 FT), four rebounds and two assists over 35 minutes in Friday's 111-93 loss to the Jazz.;http://stats.nba.com/player/player/#!/203109;
2/20/2016 10:53:14 AM;Jared Sullinger;Sullinger collected nine points (4-13 FG, 1-2 FT), 11 rebounds, two assists and two steals over 29 minutes in Friday's 111-93 loss to the Jazz.;http://stats.nba.com/player/player/#!/203096;
2/19/2016 5:23:18 PM;David Lee;Lee was waived by the Celtics on Friday.;http://stats.nba.com/player/player/#!/101135;
2/19/2016 1:38:14 PM;Kelly Olynyk;Olynyk (shoulder) is expected to be sidelined for around three-to-four weeks, Adam Himmelsback of the Boston Globe reports.;http://stats.nba.com/player/player/#!/203482;
2/19/2016 1:38:14 PM;David Lee;Lee did not take part in shootaround Friday and is unlikely to play later in the evening against the Jazz, Gary Washburn of the Boston Globe reports.;http://stats.nba.com/player/player/#!/101135;
2/19/2016 9:03:08 AM;Jordan Mickey;Mickey was recalled from the D-League's Maine Red Claws on Thursday, Mark Murphy of the Boston Herald reports.;http://stats.nba.com/player/player/#!/1626175;
2/18/2016 6:03:15 PM;David Lee;Lee was not traded before Thursday's deadline and could subsequently have his contract bought out, Marc D'Amico of Celtics.com reports.;http://stats.nba.com/player/player/#!/101135;
2/18/2016 5:13:16 PM;Kelly Olynyk;Celtics GM Danny Ainge said Thursday that Olynyk "definitely" won't play over the next couple of weeks, but declined to offer a more concrete timetable for the big man's return, Jay King of MassLive.com reports.;http://stats.nba.com/player/player/#!/203482;
2/17/2016 7:58:10 PM;R.J. Hunter;Hunter will be assigned to the D-League's Maine Red Claws, A. Sherrod Blakely of Comcast SportsNet reports.;http://stats.nba.com/player/player/#!/1626154;
2/17/2016 7:58:10 PM;Jordan Mickey;Mickey will be assigned to the D-League's Maine Red Claws, A. Sherrod Blakely of Comcast SportsNet reports.;http://stats.nba.com/player/player/#!/1626175;
2/17/2016 7:33:10 PM;Kelly Olynyk;Olynyk (shoulder) is seeking a second opinion on his shoulder and will not play Friday versus the Jazz, Adam Himmelsbach of The Boston Globe reports.;http://stats.nba.com/player/player/#!/203482;
2/15/2016 4:18:26 PM;Jordan Mickey;Mickey hasn't appeared in any of the Celtics' games since his Jan. 18 recall from the D-League's Maine Red Claws.;http://stats.nba.com/player/player/#!/1626175;
2/15/2016 4:18:25 PM;R.J. Hunter;Hunter has appeared in just two of the Celtics' 11 games since his Jan. 24 recall from the D-League's Maine Red Claws.;http://stats.nba.com/player/player/#!/1626154;
2/15/2016 4:18:25 PM;Terry Rozier;Rozier has appeared in just two of the Celtics' 11 games since his Jan. 24 recall from the D-League's Maine Red Claws.;http://stats.nba.com/player/player/#!/1626179;
2/15/2016 4:18:25 PM;James Young;Young has appeared in just three of the Celtics' 11 games since his Jan. 24 recall from the D-League's Maine Red Claws.;http://stats.nba.com/player/player/#!/203923;
2/15/2016 4:18:25 PM;David Lee;Lee (coach's decision) hasn't played in any of the Celtics' games since Jan. 10.;http://stats.nba.com/player/player/#!/101135;
2/14/2016 12:18:24 AM;Isaiah Thomas;Thomas was defeated by Karl-Anthony Towns in the final round of Saturday's All-Star Skills Compeition.;http://stats.nba.com/player/player/#!/202738;
2/11/2016 10:13:09 AM;Kelly Olynyk;Celtics GM Danny Ainge said that Olynyk (shoulder) should be ready to play in the Celtics' first game out of the All-Star break Feb. 19 against the Jazz, Henry McKenna of the Boston Globe reports.;http://stats.nba.com/player/player/#!/203482;
2/11/2016 8:58:11 AM;Amir Johnson;Johnson, despite starting, collected zero points and zero boards during 13 minutes of play in Wednesday's OT win versus the Clippers.;http://stats.nba.com/player/player/#!/101161;
2/11/2016 3:58:39 AM;Isaiah Thomas;Thomas had 36 points (12-21 FG, 1-5 3Pt, 11-12 FT), 11 assists, four rebounds and a steal in 40 minutes on Wednesday in a win against the Clippers.;http://stats.nba.com/player/player/#!/202738;
2/11/2016 3:34:25 AM;Evan Turner;Turner had 14 points (6-14 FG, 2-4 FT), six assists and six rebounds in 31 minutes on Wednesday in a win against the Clippers.;http://stats.nba.com/player/player/#!/202323;
2/11/2016 3:34:24 AM;Jared Sullinger;Sullinger had 21 points (10-15 FG, 1-2 3Pt), 11 rebounds, seven assists and a steal in 30 minutes on Wednesday in a win against the Clippers.;http://stats.nba.com/player/player/#!/203096;
2/11/2016 3:08:19 AM;Jae Crowder;Crowder scored 19 points (5-11 FG, 3-8 3Pt, 6-7 FT) to go along with eight rebounds, three assists, a block and a steal in 38 minutes on Wednesday in a win against the Clippers.;http://stats.nba.com/player/player/#!/203109;
2/10/2016 9:18:10 PM;Kelly Olynyk;Olynyk will not return to Wednesday's game against the Clippers after bruising his shoulder, Gary Washburn of the Boston Globe reports.;http://stats.nba.com/player/player/#!/203482;
2/10/2016 2:38:34 PM;Jared Sullinger;Sullinger recorded four points (2-8 FG, 0-2 3Pt), 11 rebounds, and five assists across 20 minutes in Tuesday's 112-111 loss to the Bucks.;http://stats.nba.com/player/player/#!/203096;
