time;player;headline;playerlink;
2/21/2016 11:58:14 PM;Shane Larkin;Larkin managed six points (2-7 FG, 0-3 3Pt, 2-2 FT), two assists, and one rebound in 21 minutes during the Nets' 104-96 loss to the Hornets on Sunday.;http://stats.nba.com/player/player/#!/203499;
2/20/2016 5:53:13 AM;Thaddeus Young;Young provided 13 points (6-16 FG, 1-2 FT), nine rebounds, five assists, and two steals in 38 minutes during the Nets' 109-98 win over the Knicks on Friday.;http://stats.nba.com/player/player/#!/201152;
2/20/2016 5:53:13 AM;Joe Johnson;Johnson managed 12 points (4-9 FG, 1-4 3Pt, 3-4 FT), six rebounds, and six assists in 38 minutes during the Nets' 109-98 win versus the Knicks on Friday.;http://stats.nba.com/player/player/#!/2207;
2/20/2016 5:28:17 AM;Brook Lopez;Lopez totaled 33 points (13-23 FG, 7-8 FT), eight rebounds, four blocks, two assists, and one steal in 37 minutes during the Nets' 109-98 win versus the Knicks on Friday.;http://stats.nba.com/player/player/#!/201572;
2/20/2016 5:28:17 AM;Donald Sloan;Sloan had 14 points (5-8 FG, 2-2 3Pt, 2-2 FT), 10 rebounds, four assists, two steals, and one block in 30 minutes during the Nets' 109-98 win over the Knicks on Friday.;http://stats.nba.com/player/player/#!/202388;
2/19/2016 7:28:13 PM;Andrea Bargnani;Bargnani (illness) has been ruled out for Friday's game against New York, Al Iannazzone of News Day reports.;http://stats.nba.com/player/player/#!/200745;
2/18/2016 4:48:15 PM;Rondae Hollis-Jefferson;Hollis-Jefferson (ankle) is taking part in partial practices and will be reevaluated in two weeks, Mike Mazzeo of ESPN New York reports.;http://stats.nba.com/player/player/#!/1626178;
2/12/2016 1:19:42 PM;Willie Reed;Reed has been a DNP-CD in each of the Nets' last eight games.;http://stats.nba.com/player/player/#!/203186;
2/11/2016 12:38:12 AM;Wayne Ellington;Ellington recorded 18 points (6-8 FG, 4-5 3Pt, 2-3 FT), two rebounds, and one assist in 25 minutes during the Nets' 109-90 loss against the Grizzlies on Wednesday.;http://stats.nba.com/player/player/#!/201961;
2/11/2016 12:38:11 AM;Sergey Karasev;Karasev missed his lone shot attempt (0-1 3Pt) while dishing one assist in 12 minutes during the Nets' 109-90 loss to the Grizzlies on Wednesday.;http://stats.nba.com/player/player/#!/203508;
2/11/2016 12:13:14 AM;Brook Lopez;Lopez produced 20 points (8-14 FG, 4-4 FT), four rebounds, four assists, and two steals in 30 minutes during the Nets' 109-90 loss to the Grizzlies on Wednesday.;http://stats.nba.com/player/player/#!/201572;
2/9/2016 11:08:27 AM;Chris McCullough;McCullough (knee) played 11 minutes in his NBA debut during Monday's 105-104 win over the Nuggets. He finished with two points (1-3 FG), two rebounds, one steal, and one block.;http://stats.nba.com/player/player/#!/1626191;
2/8/2016 10:38:26 PM;Thaddeus Young;Young scored 20 points (9-15 FG, 2-2 FT) to go with seven rebounds, three blocks, two assists, and a steal over 37 minutes in a 105-104 victory over the Nuggets on Monday.;http://stats.nba.com/player/player/#!/201152;
2/8/2016 10:38:25 PM;Markel Brown;Brown scored 19 points (6-10 FG, 2-4 3Pt, 5-6 FT) to go with four rebounds and two assists over 24 minutes in a 105-104 victory over the Nuggets on Monday.;http://stats.nba.com/player/player/#!/203900;
2/8/2016 10:13:20 PM;Joe Johnson;Johnson scored 12 points (5-10 FG, 2-5 3Pt) to go with eight assists, three rebounds, and two steals over 30 minutes in a 105-104 victory over the Nuggets on Monday.;http://stats.nba.com/player/player/#!/2207;
2/8/2016 3:08:37 PM;Rondae Hollis-Jefferson;Hollis-Jefferson (ankle) doesn't appear close to making a return, Nets Daily reports.;http://stats.nba.com/player/player/#!/1626178;
2/7/2016 12:53:14 PM;Thomas Robinson;Robinson put up three points (1-5 FG, 1-2 FT), five rebounds, two blocks, one assist, and one steal over 14 minutes in Saturday's 103-98 loss to the 76ers.;http://stats.nba.com/player/player/#!/203080;
2/7/2016 12:53:14 PM;Chris McCullough;McCullough (knee) is still expected to make his NBA debut Monday against the Nuggets, Nets Daily reports.;http://stats.nba.com/player/player/#!/1626191;
2/7/2016 12:28:18 PM;Markel Brown;Brown amassed a season-high 15 points (5-5 FG, 3-3 3Pt, 2-2 FT) to go with three assists, one rebound, and one steal across 20 minutes in Saturday's 103-98 loss to the 76ers.;http://stats.nba.com/player/player/#!/203900;
2/7/2016 12:28:17 PM;Thaddeus Young;Young compiled 22 points (10-15 FG, 2-4 FT), 10 rebounds, three assists, one steal, and one block across 39 minutes in Saturday's 103-98 loss to the 76ers.;http://stats.nba.com/player/player/#!/201152;
2/6/2016 3:08:18 AM;Bojan Bogdanovic;Bogdanovic dropped 23 points (8-10 FG, 7-9 3Pt) and added four rebounds and an assist in 27 minutes on Friday in a win against the Kings.;http://stats.nba.com/player/player/#!/202711;
2/6/2016 2:43:18 AM;Thaddeus Young;Young scored 14 points (6-10 FG, 2-2 FT) to go along with 14 rebounds, seven assists and two steals in 39 minutes on Friday in a win against the Kings.;http://stats.nba.com/player/player/#!/201152;
2/6/2016 2:18:17 AM;Brook Lopez;Lopez dumped in 26 points (11-21 FG, 4-4 FT) and had 12 rebounds, three assists and a block in 41 minutes on Friday in a win against the Kings.;http://stats.nba.com/player/player/#!/201572;
2/6/2016 1:53:18 AM;Joe Johnson;Johnson scored 27 points (11-16 FG, 5-7 3Pt) to go along with 11 assists, six rebounds, two steals and a block in 37 minutes on Friday in a win against the Kings.;http://stats.nba.com/player/player/#!/2207;
2/4/2016 12:43:20 AM;Joe Johnson;Johnson had 20 points (7-12 FG, 4-5 3Pt, 2-2 FT), nine assists, four rebounds and two steals in 36 minutes on Wednesday in a loss to the Pacers.;http://stats.nba.com/player/player/#!/2207;
2/4/2016 12:43:20 AM;Donald Sloan;Sloan had 11 points (4-12 FG, 0-4 3Pt, 3-4 FT), seven assists, three rebounds and a steal in a loss to the Pacers on Wednesday.;http://stats.nba.com/player/player/#!/202388;
