time;player;headline;playerlink;
2/21/2016 11:58:15 PM;Jeremy Lin;Lin had 11 points (3-10 FG, 0-1 3Pt, 5-6 FT), five rebounds, two assists, one steal, and one block in 31 minutes during the Hornets' 104-96 win against the Nets on Sunday.;http://stats.nba.com/player/player/#!/202391;
2/21/2016 11:33:21 PM;Nicolas Batum;Batum had 16 points (5-10 FG, 3-8 3Pt, 3-3 FT), eight assists, seven rebounds, and one steal across 38 minutes during the Hornets' 104-96 win against the Nets on Sunday.;http://stats.nba.com/player/player/#!/201587;
2/21/2016 11:33:21 PM;Al Jefferson;Jefferson recorded 18 points (9-13 FG) and seven rebounds in 24 minutes during the Hornets' 104-96 victory over the Nets on Sunday.;http://stats.nba.com/player/player/#!/2744;
2/21/2016 11:33:20 PM;Courtney Lee;Lee scored five points (2-4 FG, 1-1 3Pt) and added one rebound and one assist in 21 minutes during the Hornets' 104-96 win against the Nets on Sunday.;http://stats.nba.com/player/player/#!/201584;
2/21/2016 11:08:14 PM;Kemba Walker;Walker went off for 28 points (11-18 FG, 4-10 3Pt, 2-2 FT), three assists, two rebounds, and two steals in 39 minutes during the Hornets' 104-96 victory over the Nets on Sunday.;http://stats.nba.com/player/player/#!/202689;
2/21/2016 5:18:24 PM;Courtney Lee;Lee is in the starting lineup for Sunday's game against the Nets, Rick Bonnell of the Charlotte Observer reports.;http://stats.nba.com/player/player/#!/201584;
2/20/2016 1:23:14 PM;Jorge Gutierrez;Gutierrez signed a 10-day contract with the Hornets on Saturday, Marc J. Spears of Yahoo! Sports reports.;http://stats.nba.com/player/player/#!/203268;
2/20/2016 10:28:19 AM;Cody Zeller;Zeller scored a season-high 23 points (9-12 FG, 5-5 FT) while adding nine rebounds and two assists in 31 minutes during Friday's win over the Bucks.;http://stats.nba.com/player/player/#!/203469;
2/20/2016 10:28:19 AM;Kemba Walker;Walker scored 25 points (8-16 FG, 4-9 3Pt, 5-7 FT) while adding six rebounds, four assists and two steals in 40 minutes during Friday's win over the Bucks.;http://stats.nba.com/player/player/#!/202689;
2/19/2016 11:38:12 PM;Marvin Williams;Williams (neck) got the start Friday and posted 15 points (5-15 FG, 2-7 3Pt, 3-4 FT), four rebounds, and a steal in 29 minutes of action against Milwaukee.;http://stats.nba.com/player/player/#!/101107;
2/19/2016 7:53:43 PM;Al Jefferson;Jefferson will come off the bench for Friday's game against Milwaukee.;http://stats.nba.com/player/player/#!/2744;
2/19/2016 6:38:14 PM;Frank Kaminsky;Kaminsky will start at power forward for Friday's game against Milwaukee, Rick Bonnell of the Charlotte Observer reports.;http://stats.nba.com/player/player/#!/1626163;
2/19/2016 5:48:16 PM;Marvin Williams;Williams (neck) was able to partake in Friday's shootaround but is still listed as questionable, Rick Bonnell of the Charolette Observer reports.;http://stats.nba.com/player/player/#!/101107;
2/19/2016 5:23:18 PM;Al Jefferson;Jefferson will play Friday against the Bucks, Rick Bonnell of the Charlotte Observer reports.;http://stats.nba.com/player/player/#!/2744;
2/18/2016 2:18:19 PM;Marvin Williams;Williams is dealing with a neck strain and is considered questionable for Friday's game against the Bucks.;http://stats.nba.com/player/player/#!/101107;
2/18/2016 2:18:19 PM;Al Jefferson;Jefferson (knee) is listed as probable for Friday's game against the Bucks.;http://stats.nba.com/player/player/#!/2744;
2/18/2016 1:03:18 PM;Spencer Hawes;Hawes is dealing with a lower-back strain and is expected to miss at least the next two games, Rick Bonnell of the Charlotte Observer reports.;http://stats.nba.com/player/player/#!/201150;
2/18/2016 1:03:17 PM;Courtney Lee;Lee, who was traded to the Hornets on Tuesday, underwent a physical Thursday forcing him to miss practice time and he will not play Friday against the Bucks, Rick Bonnell of the Charlotte Observer reports.;http://stats.nba.com/player/player/#!/201584;
2/17/2016 4:13:14 PM;Al Jefferson;Jefferson (knee) was a full participant in Wednesday's practice and the team announced that he will play Friday against the Bucks "if the next few days go well at practice.";http://stats.nba.com/player/player/#!/2744;
2/17/2016 4:13:14 PM;Courtney Lee;Lee will start at shooting guard for the Hornets following Wednesday's trade from Memphis, Rick Bonnell of the Charlotte Observer reports.;http://stats.nba.com/player/player/#!/201584;
2/17/2016 1:18:26 PM;Michael Kidd-Gilchrist;Kidd-Gilchrist (shoulder) underwent successful surgery Wednesday to repair a torn labrum.;http://stats.nba.com/player/player/#!/203077;
2/16/2016 3:38:22 PM;Courtney Lee;Lee has been traded to the Hornets as part of a three-team deal involving the Heat and the Grizzlies, Adrian Wojnarowski of Yahoo! Sports reports.;http://stats.nba.com/player/player/#!/201584;
2/16/2016 12:18:22 PM;Michael Kidd-Gilchrist;Kidd-Gilchrist (shoulder) will undergo surgery to repair a torn labrum and will miss the rest of the season, Adrian Wojnarowski of Yahoo! Sports reports.;http://stats.nba.com/player/player/#!/203077;
2/15/2016 5:08:47 PM;Brian Roberts;Roberts has appeared in two of the Hornets' five February games, averaging six points and two assists across nine minutes.;http://stats.nba.com/player/player/#!/203148;
2/15/2016 5:08:47 PM;P.J. Hairston;Hairston appears the most likely candidate to enter the starting lineup at small forward with Michael Kidd-Gilchrist (shoulder) out indefinitely, Rick Bonnell of the Charlotte Observer reports.;http://stats.nba.com/player/player/#!/203798;
