time;player;headline;playerlink;
2/22/2016 11:38:16 AM;Derrick Rose;Rose scored 24 points (8-15 FG, 0-1 3Pt, 8-8 FT) while adding seven rebounds and six assists in 31 minutes during Sunday's win over the Lakers.;http://stats.nba.com/player/player/#!/201565;
2/22/2016 11:38:15 AM;E'Twaun Moore;Moore scored 24 points (10-14 FG, 4-4 3Pt) while adding four rebounds, a steal and a block in 41 minutes during Sunday's win over the Lakers.;http://stats.nba.com/player/player/#!/202734;
2/21/2016 6:58:27 PM;Jimmy Butler;Butler (knee) remains 2-to-3 weeks from a return, K.C. Johnson of the Chicago Tribune reports.;http://stats.nba.com/player/player/#!/202710;
2/21/2016 6:58:22 PM;Nikola Mirotic;Mirotic (appendectomy) remains 2-to-3 weeks from a return to the court, K.C. Johnson of the Chicago Tribune reports.;http://stats.nba.com/player/player/#!/202703;
2/20/2016 12:53:17 AM;Pau Gasol;Gasol scored 18 points (6-16 FG, 6-7 FT) while adding 11 rebounds, nine assists and a block in 32 minutes during Friday's win over the Raptors.;http://stats.nba.com/player/player/#!/2200;
2/20/2016 12:53:16 AM;Derrick Rose;Rose scored 26 points (12-20 FG, 1-2 3Pt, 1-2 FT) while adding six assists and three rebounds in 35 minutes during Friday's win over the Raptors.;http://stats.nba.com/player/player/#!/201565;
2/20/2016 12:53:15 AM;Doug McDermott;McDermott scored a career-high 30 points (13-17 FG, 4-5 3Pt) while adding four rebounds and an assist in 31 minutes off the bench during Friday's win over the Raptors.;http://stats.nba.com/player/player/#!/203926;
2/19/2016 8:18:19 PM;Mike Dunleavy;Dunleavy will start at forward Friday against the Raptors, the Raptors Official Twitter Account reports.;http://stats.nba.com/player/player/#!/2399;
2/19/2016 9:53:08 AM;Derrick Rose;Rose scored 28 points (11-19 FG, 2-3 3Pt, 4-4 FT) to go with seven rebounds, two assists, and a steal over 30 minutes in a 106-95 loss to the Cavaliers on Thursday.;http://stats.nba.com/player/player/#!/201565;
2/19/2016 9:53:08 AM;Bobby Portis;Portis scored 13 points (6-16 FG, 1-1 3Pt) to go with 10 rebounds and an assist over 26 minutes in a 106-95 loss to the Cavaliers on Thursday.;http://stats.nba.com/player/player/#!/1626171;
2/18/2016 4:48:15 PM;Justin Holiday;Holiday was traded to the Bulls on Thursday as part of a three-team trade that also included the Hawks and Jazz, K.C. Johnson of the Chicago Tribune reports.;http://stats.nba.com/player/player/#!/203200;
2/18/2016 12:08:13 AM;Pau Gasol;Gasol is being pursued by the Kings as the trade deadline approaches, The Vertical reports.;http://stats.nba.com/player/player/#!/2200;
2/17/2016 3:23:15 PM;Nikola Mirotic;Mirotic (illness) confirmed Wednesday that he'll return at some point this season, but he remains without a concrete timetable, KC Johnson of the Chicago Tribune reports.;http://stats.nba.com/player/player/#!/202703;
2/16/2016 8:13:18 PM;Nikola Mirotic;Mirotic (appendectomy) has yet to be cleared for on court work, K.C. Johnson of the Chicago Tribune reports.;http://stats.nba.com/player/player/#!/202703;
2/16/2016 7:48:22 PM;Taj Gibson;Gibson (foot) will play in Thursday's matchup with the Cavaliers, K.C. Johnson of the Chicago Tribune reports.;http://stats.nba.com/player/player/#!/201959;
2/16/2016 9:48:23 AM;E'Twaun Moore;Moore is averaging 11.9 points, three rebounds, three assists, 1.5 three-pointers, one steal, and 0.8 blocks in 32.6 minutes while starting the Bulls' last eight games.;http://stats.nba.com/player/player/#!/202734;
2/15/2016 10:33:24 PM;Tony Snell;Snell has averaged 5.5 points, 3.3 rebounds and 0.9 three-pointers in 50 games this season.;http://stats.nba.com/player/player/#!/203503;
2/15/2016 10:33:23 PM;E'Twaun Moore;Moore has averaged 6.2 points, 1.9 rebounds and 1.3 assists in 40 games this season.;http://stats.nba.com/player/player/#!/202734;
2/15/2016 10:08:21 PM;Cristiano Felicio;Felicio has played in only seven games so far this season, averaging 0.4 points and 0.1 rebounds in 3 minutes per game.;http://stats.nba.com/player/player/#!/1626245;
2/15/2016 10:08:21 PM;Kirk Hinrich;Hinrich has averaged 3.8 points, 1.7 rebounds and 1.7 assists in 35 games played so far this season.;http://stats.nba.com/player/player/#!/2550;
2/15/2016 5:58:24 PM;Cameron Bairstow;Bairstow has appeared in three of the Bulls' six games in February, averaging 3.3 points (on 18.8% shooting), three rebounds, 1.3 assists, and 0.7 blocks in 14.3 minutes.;http://stats.nba.com/player/player/#!/203946;
