time;player;headline;playerlink;
2/22/2016 10:03:23 PM;Kyrie Irving;Irving shook off his illness to score 30 points (11-21 FG, 3-7 3Pt, 5-6 FT) while dishing out five assists with two steals over 38 minutes in Monday's 96-88 loss to the Pistons.;http://stats.nba.com/player/player/#!/202681;
2/22/2016 10:03:21 PM;Kevin Love;Love scored 24 points (8-15 FG, 3-7 3Pt, 5-5 FT) while pulling down seven rebounds with three assists over 36 minutes in Monday's 96-88 loss to the Pistons.;http://stats.nba.com/player/player/#!/201567;
2/22/2016 10:03:19 PM;LeBron James;James had an off game in Monday's 96-88 loss to the Pistons, scoring just 12 points (5-18 FG, 0-4 3Pt, 2-2 FT) with eight rebounds, five assists and three steals during 38 minutes.;http://stats.nba.com/player/player/#!/2544;
2/22/2016 5:53:24 PM;Iman Shumpert;Shumpert (shoulder) has been ruled out for Monday's matchup with Detroit, Jason Lloyd of the Akron Beacon Journal reports.;http://stats.nba.com/player/player/#!/202697;
2/22/2016 5:28:18 PM;Kyrie Irving;Irving (illness) will play Monday against Detroit, Jason Lloyd of the Akron Beacon Journal reports.;http://stats.nba.com/player/player/#!/202681;
2/22/2016 5:03:20 PM;Channing Frye;Frye passed his physical and will be active and available for Monday's game against the Pistons, Chris Haynes of the Cleveland Plain Dealer reports.;http://stats.nba.com/player/player/#!/101112;
2/22/2016 11:13:18 AM;Channing Frye;Frye is uncertain to be available for Monday's game against the Pistons, Jason Lloyd of the Akron Beacon Journal reports.;http://stats.nba.com/player/player/#!/101112;
2/21/2016 8:38:17 PM;LeBron James;James scored 25 points (11-22 FG, 1-1 FT, 2-5 3Pt) to go along with 11 assists, seven rebounds and three steals over 38 minutes in Sunday's win over the Thunder.;http://stats.nba.com/player/player/#!/2544;
2/21/2016 8:38:17 PM;Tristan Thompson;Thompson registered his third straight double-double in Sunday's win over the Thunder, with 14 points (4-6 FG, 6-8 FT) and 14 rebounds while adding an assist and a block in 36 minutes.;http://stats.nba.com/player/player/#!/202684;
2/21/2016 8:13:17 PM;Kevin Love;Love recorded a double-double with 29 points (9-18 FG, 11-12 FT, 0-4 3Pt) and 14 rebounds, while also doling out four assists in 38 minutes during Sunday's win over the Thunder.;http://stats.nba.com/player/player/#!/201567;
2/21/2016 7:23:25 PM;Mo Williams;Williams is slated to meet with Dr. James Andrews on Tuesday in order to examine his left knee, Jason Lloyd of the Akron Beacon Journal reports. "I don't know what it is yet," Williams said after Sunday's win at Oklahoma City.;http://stats.nba.com/player/player/#!/2590;
2/21/2016 5:18:26 PM;Kyrie Irving;Irving is dealing with an illness and will not return to Sunday's game against the Thunder, Joe Gabriele of Cavs.com reports.;http://stats.nba.com/player/player/#!/202681;
2/21/2016 2:23:16 PM;Iman Shumpert;Shumpert (shoulder) has been ruled out for Sunday's game against the Thunder, Joe Gabriele of Cavs.com reports.;http://stats.nba.com/player/player/#!/202697;
2/21/2016 10:38:17 AM;Channing Frye;Frye has yet to pass his physical and won't be available for Sunday's game against the Thunder, Jason Lloyd of the Akron Beacon Journal reports.;http://stats.nba.com/player/player/#!/101112;
2/20/2016 5:33:17 PM;Iman Shumpert;Shumpert (shoulder) is doubtful for Sunday's game against the Thunder, Tom Withers of the Associated Press reports.;http://stats.nba.com/player/player/#!/202697;
2/20/2016 12:58:15 PM;Iman Shumpert;Shumpert (shoulder) missed practice again Saturday, and is questionable to play Sunday versus the Thunder, Jason Lloyd of the Akron Beacon Journal reports.;http://stats.nba.com/player/player/#!/202697;
2/19/2016 1:38:14 PM;Channing Frye;Frye is expected to take part in practice Saturday, Cavs play-by-play man Fred McLeod reports.;http://stats.nba.com/player/player/#!/101112;
2/19/2016 1:38:13 PM;Iman Shumpert;Shumpert injured his left shoulder during Thursday's win over the Bulls and is considered day-to-day, Chris Haynes of the Cleveland Plain Dealer reports.;http://stats.nba.com/player/player/#!/202697;
2/19/2016 10:43:09 AM;Matthew Dellavedova;Dellavedova (hamstring) logged 17 minutes in his return to the court in Thursday's 106-95 triumph over the Bulls. He tallied seven points (2-7 FG, 1-3 3Pt, 2-2 FT), one rebound, and one assist.;http://stats.nba.com/player/player/#!/203521;
2/19/2016 9:28:09 AM;LeBron James;James scored 25 points (11-19 FG, 0-2 3Pt, 3-3 FT) to go with nine rebounds, nine assists, and a block over 35 minutes in a 106-95 victory over the Bulls on Thursday.;http://stats.nba.com/player/player/#!/2544;
2/19/2016 9:28:09 AM;Kevin Love;Love (shoulder) scored 15 points (5-10 FG, 2-6 3Pt, 3-4 FT) to go with 15 rebounds, two assists, and a block over 30 minutes in a 106-95 victory over the Bulls on Thursday.;http://stats.nba.com/player/player/#!/201567;
2/19/2016 9:28:08 AM;Tristan Thompson;Thompson scored 16 points (8-10 FG, 0-1 FT) to go with 10 rebounds, three steals, and two blocks over 31 minutes in a 106-95 victory over the Bulls on Thursday.;http://stats.nba.com/player/player/#!/202684;
2/18/2016 8:08:09 PM;Matthew Dellavedova;Dellavedova (hamstring) will play in Thursday's game against the Bulls, Nolan Murphy of ESPN Cleveland reports.;http://stats.nba.com/player/player/#!/203521;
2/18/2016 1:03:18 PM;Channing Frye;Frye was traded to Cleveland on Thursday, Sam Amico of Fox Sports Ohio reports.;http://stats.nba.com/player/player/#!/101112;
2/18/2016 11:23:18 AM;Kevin Love;Love will play Thursday against the Bulls, Chris Haynes of the Cleveland Plain Dealer reports.;http://stats.nba.com/player/player/#!/201567;
2/17/2016 5:03:12 PM;Kevin Love;Love (shoulder) took part in practice Wednesday and is listed as probable for Thursday's matchup with the Bulls, Jason Lloyd of the Akron Beacon Journal reports.;http://stats.nba.com/player/player/#!/201567;
2/17/2016 5:03:12 PM;Matthew Dellavedova;Dellavedova (hamstring) is considered probable for Thursday's game against the Bulls, Jason Lloyd of the Akron Beacon Journal reports.;http://stats.nba.com/player/player/#!/203521;
2/16/2016 11:53:35 AM;Sasha Kaun;Kaun (coach's decision) has appeared in just one of the Cavaliers' last 14 games.;http://stats.nba.com/player/player/#!/201619;
2/16/2016 11:53:34 AM;Mo Williams;Williams is averaging 4.8 points (on 35.7% shooting) and 0.4 assists in 11.6 minutes during his appearances in five of the Cavaliers' six February contests.;http://stats.nba.com/player/player/#!/2590;
2/16/2016 11:28:36 AM;Jared Cunningham;Cunningham has appeared in three of the Cavaliers' six games in February.;http://stats.nba.com/player/player/#!/203099;
2/16/2016 11:28:36 AM;James Jones;Jones (coach's decision) hasn't played in the Cavaliers' last seven games and has played a total of two minutes in the last 10 games.;http://stats.nba.com/player/player/#!/2592;
2/11/2016 2:18:12 AM;Kyrie Irving;Irving posted 35 points (15-24 FG, 3-6 3Pt, 2-4 FT), seven assists, three rebounds, and two steals in 36 minutes during the Cavaliers' 120-111 win over the Lakers on Wednesday.;http://stats.nba.com/player/player/#!/202681;
2/11/2016 1:53:12 AM;LeBron James;James totaled 29 points (12-22 FG, 3-6 3Pt, 2-5 FT), 11 assists, seven rebounds, and one steal in 37 minutes during the Cavaliers' 120-111 win over the Lakers on Wednesday.;http://stats.nba.com/player/player/#!/2544;
