time;player;headline;playerlink;
2/22/2016 12:03:18 PM;JaVale McGee;McGee was a health scratch Sunday for Dallas' win over Philadelphia.;http://stats.nba.com/player/player/#!/201580;
2/22/2016 12:03:18 PM;Dirk Nowitzki;Nowitzki scored 18 points (6-14 FG, 5-9 3Pt, 1-2 FT) Sunday in a win over the Sixers. He added seven rebounds, two assists, and a steal in 27 minutes.;http://stats.nba.com/player/player/#!/1717;
2/22/2016 12:03:17 PM;Zaza Pachulia;Pachulia scored nine points (2-5 FG, 5-5 FT) Sunday in a win over the Sixers. He collected 10 rebounds and one steal.;http://stats.nba.com/player/player/#!/2585;
2/22/2016 12:03:17 PM;Chandler Parsons;Parsons scored 15 points (4-10 FG, 0-3 3Pt, 7-7 FT) Sunday in a won over Philadelphia. He added four rebounds, two assists, one block, and a steal in 27 minutes of action.;http://stats.nba.com/player/player/#!/202718;
2/22/2016 11:38:15 AM;J.J. Barea;Barea scored 12 points (5-9 FG, 2-4 3Pt) Sunday in a win over the Sixers. He added five assists and two rebounds in 24 minutes of action.;http://stats.nba.com/player/player/#!/200826;
2/22/2016 11:38:15 AM;Raymond Felton;Felton scored 10 points (3-8 FG, 0-2 3Pt, 4-4 FT) in a blowout win over Philadelphia. He added four rebounds and three steals in 29 minutes of playing time.;http://stats.nba.com/player/player/#!/101109;
2/22/2016 11:13:17 AM;Wesley Matthews;Matthews scored 21 points (8-12 FG, 3-7 3Pt, 2-2 FT) while adding three rebounds and two assists in 27 minutes during Sunday's win over the 76ers.;http://stats.nba.com/player/player/#!/202083;
2/22/2016 10:48:15 AM;Devin Harris;Harris (toe) scored eight points (2-5 FG, 1-3 3Pt, 3-4 FT) to go with three rebounds and two assists in 17 minutes during Sunday's 129-103 win over the 76ers.;http://stats.nba.com/player/player/#!/2734;
2/21/2016 10:18:15 PM;David Lee;Lee is in Dallas and will officially sign with the Mavericks on Monday, Dwain Price of the Fort Worth Star-Telegram reports.;http://stats.nba.com/player/player/#!/101135;
2/21/2016 6:58:25 PM;John Jenkins;Jenkins (undisclosed) will not play in Sunday's game against Philadelphia, Tim MacMahon of ESPN.com reports.;http://stats.nba.com/player/player/#!/203098;
