time;player;headline;playerlink;
2/21/2016 9:03:17 PM;Emmanuel Mudiay;Mudiay managed 18 points (5-9 FG, 2-4 3Pt, 6-6 FT), five rebounds, three assists, and two steals across 31 minutes during the Nuggets' 121-101 loss versus the Celtics on Sunday.;http://stats.nba.com/player/player/#!/1626144;
2/21/2016 9:03:16 PM;Gary Harris;Harris had 14 points (6-14 FG, 0-4 3Pt, 2-3 FT), three steals, two assists, and one rebound in 38 minutes during the Nuggets' 121-101 loss to the Celtics on Sunday.;http://stats.nba.com/player/player/#!/203914;
2/21/2016 8:38:16 PM;Nikola Jokic;Jokic posted 23 points (10-15 FG, 1-2 3Pt, 2-2 FT), 13 rebounds, four assists, and two steals in 30 minutes during the Nuggets' 121-101 loss to the Celtics on Sunday.;http://stats.nba.com/player/player/#!/203999;
2/21/2016 4:53:16 PM;Jameer Nelson;Nelson (wrist) will not play in Sunday's matchup with the Celtics, Nuggets radio announcer Jason Kosmicki reports.;http://stats.nba.com/player/player/#!/2749;
2/20/2016 10:04:19 AM;Danilo Gallinari;Gallinari poured in 27 points (6-11 FG, 3-6 3Pt, 12-13 FT), and added three rebounds, two assists and three steals over 37 minutes in Friday's 116-110 loss to the Kings.;http://stats.nba.com/player/player/#!/201568;
2/20/2016 10:04:19 AM;Joffrey Lauvergne;Lauvergne posted a career-high 22 points (10-14 FG, 1-1 3Pt, 1-2 FT), seven rebounds, an assist and a block over 25 minutes in Friday's 116-110 loss to the Kings.;http://stats.nba.com/player/player/#!/203530;
2/20/2016 10:04:18 AM;Will Barton;Barton contributed 17 points (7-13 FG, 1-5 3Pt, 2-3 FT), nine rebounds, three assists and a steal over 31 minutes in Friday's 116-110 loss to the Kings.;http://stats.nba.com/player/player/#!/203115;
2/18/2016 5:38:22 PM;JJ Hickson;Hickson is expected to be bought out by the Nuggets, Marc Stein of ESPN reports.;http://stats.nba.com/player/player/#!/201581;
2/18/2016 5:13:15 PM;Steve Novak;Novak will likely be bought out by the Nuggets, Marc Stein of ESPN reports.;http://stats.nba.com/player/player/#!/200779;
2/18/2016 1:53:19 PM;Steve Novak;Novak was traded to the Nuggets on Thursday alongside D.J. Augustin in exchange for Randy Foye, Adrian Wojnarowski of Yahoo! Sports reports.;http://stats.nba.com/player/player/#!/200779;
2/18/2016 1:53:18 PM;D.J. Augustin;Augustin was traded to the Nuggets on Thursday, along with Steve Novak and two second-round picks, in exchange for Randy Foye, Ken Berg of CBS Sports reports.;http://stats.nba.com/player/player/#!/201571;
2/18/2016 11:23:17 AM;Darrell Arthur;Arthur (quad) practiced Wednesday and is expected to play Friday against the Kings, Chris Dempsey of the Denver Post reports.;http://stats.nba.com/player/player/#!/201589;
2/18/2016 11:23:17 AM;Jameer Nelson;Nelson could require surgery on his sprained left wrist, Chris Dempsey of the Denver Post reports. "I [recently] saw my doctor in Philadelphia, which we all thought was best," Nelson said. "And I got another MRI and it showed some stuff.";http://stats.nba.com/player/player/#!/2749;
2/17/2016 7:08:14 PM;Jameer Nelson;Nelson (wrist) is doubtful to play in Friday's matchup with Sacramento, Chris Dempsey of The Denver Post reports.;http://stats.nba.com/player/player/#!/2749;
2/17/2016 2:33:18 PM;Darrell Arthur;Arthur (quad) is hopeful to play in Friday's game against the Kings, Christopher Dempsey of the Denver Post reports.;http://stats.nba.com/player/player/#!/201589;
2/17/2016 2:33:18 PM;Wilson Chandler;Chandler (hip) is expected to be fully healthy for training camp in advance of the 2016-17 season, Christopher Dempsey of the Denver Post reports.;http://stats.nba.com/player/player/#!/201163;
2/16/2016 1:10:07 PM;Randy Foye;Foye is averaging 6.8 points (on 50% shooting from the field), 2.7 rebounds, 2.3 assists, 1.5 three-pointers, and 0.8 steals in 21.8 minutes through six February appearances.;http://stats.nba.com/player/player/#!/200751;
2/14/2016 12:43:22 AM;Will Barton;Barton didn't advance out of the first round in Saturday's All-Star Slam Dunk competition, which was eventually won by Zach LaVine.;http://stats.nba.com/player/player/#!/203115;
2/13/2016 1:28:20 PM;Emmanuel Mudiay;Mudiay tallied 30 points (12-20 FG, 5-10 3Pt), 10 assists, three steals, three rebounds, and a block for the World squad in their 157-154 loss to the United States team during Friday's Rising Stars Challenge.;http://stats.nba.com/player/player/#!/1626144;
2/11/2016 1:33:17 PM;Nikola Jokic;Jokic was limited to five points (2-7 FG, 0-1 3Pt, 1-1 FT), six rebounds, two assists, and one steal across 25 minutes in Wednesday's 103-92 win over the Pistons.;http://stats.nba.com/player/player/#!/203999;
2/11/2016 1:33:17 PM;Gary Harris;Harris produced 11 points (4-11 FG, 1-3 3Pt, 2-2 FT), four assists, two rebounds, and two steals across 36 minutes in Wednesday's 103-92 win over the Pistons.;http://stats.nba.com/player/player/#!/203914;
2/11/2016 1:33:16 PM;Mike Miller;Miller (coach's decision) didn't play in Wednesday's 103-92 win over the Nuggets.;http://stats.nba.com/player/player/#!/2034;
2/11/2016 1:33:16 PM;JJ Hickson;Hickson (coach's decision) didn't see the court in Wednesday's 103-92 win over the Pistons.;http://stats.nba.com/player/player/#!/201581;
2/11/2016 1:08:17 PM;Kenneth Faried;Faried contributed 12 points (6-9 FG, 0-1 FT), six rebounds, and one assist across 18 minutes in Wednesday's 103-92 win over the Pistons.;http://stats.nba.com/player/player/#!/202702;
2/11/2016 11:03:16 AM;Jameer Nelson;Nelson (wrist) was held out of Wednesday's 103-92 win over the Pistons.;http://stats.nba.com/player/player/#!/2749;
2/11/2016 11:03:16 AM;Darrell Arthur;Arthur (quadriceps) didn't take the floor in Wednesday's 103-92 win over the Pistons.;http://stats.nba.com/player/player/#!/201589;
2/11/2016 1:03:11 AM;Jusuf Nurkic;Nurkic notched a double-double with 16 points (8-12 FG, 0-1 3Pt), 11 rebounds, two assists, one steal, and one block in 24 minutes during the Nuggets' 103-92 win over the Pistons on Wednesday.;http://stats.nba.com/player/player/#!/203994;
2/11/2016 1:03:11 AM;Emmanuel Mudiay;Mudiay managed 14 points (6-12 FG, 1-3 3Pt, 1-3 FT), six assists, four rebounds, two steals, and one block in 34 minutes during the Nuggets' 103-92 win over the Pistons on Wednesday.;http://stats.nba.com/player/player/#!/1626144;
2/11/2016 12:38:10 AM;Will Barton;Barton contributed 20 points (7-12 FG, 1-3 3Pt, 5-6 FT), five rebounds, two assists, two steals, and one block in 22 minutes during the Nuggets' 103-92 win over the Pistons on Wednesday.;http://stats.nba.com/player/player/#!/203115;
