time;player;headline;playerlink;
2/23/2016 12:58:26 AM;Justin Harper;Harper will sign a 10-day contract with the Pistons, Shams Charania of Yahoo! Sports reports.;http://stats.nba.com/player/player/#!/202712;
2/22/2016 10:03:24 PM;Kentavious Caldwell-Pope;Caldwell-Pope scored 19 points (8-10 FG, 2-3 3Pt, 1-2 FT) while grabbing four rebounds and two steals over 37 minutes in Monday's 96-88 win against the Cavaliers.;http://stats.nba.com/player/player/#!/203484;
2/22/2016 9:38:25 PM;Stanley Johnson;Johnson is questionable to return Monday versus the Cavaliers due to a shoulder injury, Keith Langlois of Pistons.com reports.;http://stats.nba.com/player/player/#!/1626169;
2/22/2016 9:38:23 PM;Andre Drummond;Drummond scored 16 points (4-8 FG, 8-14 FT) to go along with 15 rebounds and two steals during 35 minutes in Monday's 96-88 win against the Cavaliers.;http://stats.nba.com/player/player/#!/203083;
2/22/2016 9:38:22 PM;Reggie Jackson;Jackson scored a team-high 23 points (9-17 FG, 3-5 3Pt, 2-2 FT) with four assists, three rebounds and three steals during 33 minutes in Monday's 96-88 win against the Cavaliers.;http://stats.nba.com/player/player/#!/202704;
2/22/2016 7:08:23 PM;Tobias Harris;Harris will start Monday against the Cavaliers.;http://stats.nba.com/player/player/#!/202699;
2/22/2016 6:18:42 PM;Joel Anthony;Anthony will not be available Monday against Cleveland, Keith Langlois of Pistons.com reports.;http://stats.nba.com/player/player/#!/201202;
2/22/2016 5:28:18 PM;Anthony Tolliver;Tolliver has been diagnosed with a right knee sprain and is expected to miss two-to-four weeks, David Mayo of MLive.com reports.;http://stats.nba.com/player/player/#!/201229;
2/22/2016 2:33:16 PM;Joel Anthony;The trade that sent Anthony to Houston, and subsequently Philadelphia, last week was voided Monday, Keith Pompey of the Philadelphia Inquirer reports.;http://stats.nba.com/player/player/#!/201202;
2/22/2016 12:28:15 PM;Tobias Harris;With Anthony Tolliver (knee) ruled out for Monday's game against the Cavaliers, Harris could be the top candidate to enter the starting five, Rod Beard of the Detroit News reports.;http://stats.nba.com/player/player/#!/202699;
2/21/2016 8:13:23 PM;Andre Drummond;Drummond registered a double-double with 21 points (9-13 FG, 3-10 FT) and 14 rebounds to go along with three blocks, two steals and an assist across 35 minutes Sunday versus New Orleans.;http://stats.nba.com/player/player/#!/203083;
2/21/2016 8:13:21 PM;Tobias Harris;Harris led the Detroit bench with 16 points (6-17 FG, 2-3 FT, 2-6 3Pt) to go along with five rebounds, two assists, two blocks and a steal in 35 minutes during Sunday's loss to the Pelicans.;http://stats.nba.com/player/player/#!/202699;
2/21/2016 7:48:24 PM;Donatas Motiejunas;The Pistons have received an extension to examine Motiejunas' (back) medical chart more closely, David Mayo of MLive.com reports.;http://stats.nba.com/player/player/#!/202700;
2/21/2016 7:48:20 PM;Reggie Jackson;Jackson scored a team-high 34 points (11-20 FG, 8-8 FT, 4-7 3Pt) to go along with four rebounds and four assists in just 31 minutes during Sunday's loss to New Orleans.;http://stats.nba.com/player/player/#!/202704;
2/21/2016 6:33:21 PM;Anthony Tolliver;Tolliver (knee) is doubtful to travel with the team or play in Monday's game against Cleveland, Dave Pemberton of the Oakland Press reports.;http://stats.nba.com/player/player/#!/201229;
2/21/2016 4:53:18 PM;Anthony Tolliver;Tolliver is doubtful to return after injuring his knee in Sunday's game against New Orleans.;http://stats.nba.com/player/player/#!/201229;
2/21/2016 2:48:21 PM;Tobias Harris;Harris is not in the starting lineup for Sunday's game against New Orleans, David Mayo of MLive.com reports.;http://stats.nba.com/player/player/#!/202699;
2/21/2016 2:23:16 PM;Donatas Motiejunas;Motiejunas (back) will not be available to play in Sunday's game against the Pelicans, Keith Langlois of Pistons.com reports.;http://stats.nba.com/player/player/#!/202700;
2/21/2016 1:58:16 PM;Marcus Thornton;Updating a previous report, Thornton will not be available to play in Sunday's game against the Pelicans, Keith Langlois of Pistons.com reports.;http://stats.nba.com/player/player/#!/201977;
2/21/2016 1:08:21 PM;Marcus Thornton;Thornton will likely make his debut with the Pistons on Sunday night when they take on the Pelicans, John Reid of the Times-Picayune reports.;http://stats.nba.com/player/player/#!/201977;
2/20/2016 5:03:51 AM;Tobias Harris;Harris had 21 points (9-12 FG, 1-2 3Pt, 2-2 FT) and four rebounds in 30 minutes during the Pistons' 98-86 loss to the Wizards on Friday.;http://stats.nba.com/player/player/#!/202699;
2/20/2016 5:03:51 AM;Kentavious Caldwell-Pope;Caldwell-Pope (groin) posted four points (1-11 FG, 0-5 3Pt, 2-2 FT) and three rebounds in 32 minutes during the Pistons' 98-86 loss to the Wizards on Friday.;http://stats.nba.com/player/player/#!/203484;
2/20/2016 5:03:51 AM;Reggie Jackson;Jackson (illness) managed 16 points (7-18 FG, 1-3 3Pt, 1-1 FT), five assists, three rebounds, and one block in 32 minutes during the Pistons' 98-86 loss to the Wizards on Friday.;http://stats.nba.com/player/player/#!/202704;
2/20/2016 12:03:14 AM;Reggie Bullock;Bullock (nose) played two minutes of the bench in Friday's loss to Washington.;http://stats.nba.com/player/player/#!/203493;
2/20/2016 12:03:12 AM;Aron Baynes;Baynes (illness) recorded six points and six rebounds over 14 minutes off the bench Friday against the Wizards.;http://stats.nba.com/player/player/#!/203382;
2/19/2016 7:03:13 PM;Aron Baynes;Baynes (illness) is going through warmups ahead of Friday's game against Washington and will likely be able to play, Detroit play-by-play announcer Mark Champion reports.;http://stats.nba.com/player/player/#!/203382;
2/19/2016 4:08:16 PM;Tobias Harris;Harris will be available off the bench Friday, and coach Stan Van Gundy said he expects him to play "a lot," Pistons' radio voice Mark Champion reports.;http://stats.nba.com/player/player/#!/202699;
2/19/2016 11:33:10 AM;Donatas Motiejunas;Motiejunas (back) is unlikely to play Friday against the Wizards, Keith Langlois of Pistons.com reports.;http://stats.nba.com/player/player/#!/202700;
2/19/2016 11:33:10 AM;Marcus Thornton;Thornton is unlikely to play Friday against the Wizards, Keith Langlois of Pistons.com reports.;http://stats.nba.com/player/player/#!/201977;
2/18/2016 3:33:19 PM;Aron Baynes;Baynes missed Thursday's practice due to an illness, Keith Langlois of Pistons.com reports.;http://stats.nba.com/player/player/#!/203382;
2/18/2016 3:33:18 PM;Jodie Meeks;Meeks (foot) was able to take part in practice Thursday, Keith Langlois of Pistons.com reports.;http://stats.nba.com/player/player/#!/201975;
2/18/2016 3:33:18 PM;Spencer Dinwiddie;Dinwiddie (ankle) remained on the sideline for practice Thursday, Keith Langlois of Pistons.com reports.;http://stats.nba.com/player/player/#!/203915;
2/18/2016 1:03:19 PM;Marcus Thornton;Thornton has been traded to the Pistons, along with Donatas Motiejunas, in exchange for Joel Anthony and a protected first-round pick, Adrian Wojnarowski of Yahoo! Sports reports.;http://stats.nba.com/player/player/#!/201977;
2/18/2016 12:38:18 PM;Donatas Motiejunas;Motiejunas (back) has been traded to Detroit, along with Marcus Thornton, in exchange for Joel Anthony and a protected first-round pick, Adrian Wojnarowksi of Yahoo! Sports reports.;http://stats.nba.com/player/player/#!/202700;
2/17/2016 5:28:12 PM;Anthony Tolliver;Tolliver is expected to enter the second half of the season as the Pistons' starting power forward, Dave Pemberton of the Oakland Press reports.;http://stats.nba.com/player/player/#!/201229;
2/17/2016 5:28:12 PM;Stanley Johnson;Johnson will likely return to a bench role for Friday's game against the Wizards, Keith Langlois of Pistons.com reports.;http://stats.nba.com/player/player/#!/1626169;
2/17/2016 3:48:18 PM;Kentavious Caldwell-Pope;Caldwell-Pope (groin) will play Friday against the Wizards, Keith Langlois of Pistons.com reports.;http://stats.nba.com/player/player/#!/203484;
2/17/2016 3:23:15 PM;Kentavious Caldwell-Pope;Caldwell-Pope (groin) practiced in full Wednesday, David Mayo of MLive.com reports.;http://stats.nba.com/player/player/#!/203484;
2/17/2016 3:23:15 PM;Reggie Jackson;Jackson (illness) logged a full practice Wednesday according to head coach Stan Van Gundy.;http://stats.nba.com/player/player/#!/202704;
2/17/2016 2:58:18 PM;Tobias Harris;Harris (ankle) expects to play Friday when the Pistons resume play against the Wizards following the All-Star break, Keith Langlois of Pistons.com reports.;http://stats.nba.com/player/player/#!/202699;
2/16/2016 2:48:22 PM;Tobias Harris;Harris (ankle) has been traded from the Magic to the Pistons in exchange for Brandon Jennings and Ersan Ilyasova, Sam Amico of Fox Sports Ohio reports.;http://stats.nba.com/player/player/#!/202699;
2/15/2016 12:03:24 AM;Andre Drummond;Drummond recorded a double-double with 16 points (8-11 FG, 0-1 3Pt) and a game-high 13 rebounds in addition to a pair of steals in just 18 minutes during his All-Star game debut Sunday.;http://stats.nba.com/player/player/#!/203083;
2/14/2016 12:43:22 AM;Andre Drummond;Drummond failed to advance out of the first round of Saturday's All-Star Slam Dunk competition, which was eventually won by Zach LaVine.;http://stats.nba.com/player/player/#!/203083;
