time;player;headline;playerlink;
2/23/2016 12:33:31 AM;Klay Thompson;Thompson scored 27 points (10-23 FG, 3-3 FT, 5-14 3Pt) to go along with three assists, three steals and two rebounds in 37 minutes of Monday's win over the Hawks.;http://stats.nba.com/player/player/#!/202691;
2/23/2016 12:33:30 AM;Draymond Green;Green scored just six points (2-10 FG, 2-2 FT, 0-4 3Pt) to go along with 14 rebounds, nine assists, two steals and a block in 38 minutes Sunday against the Hawks.;http://stats.nba.com/player/player/#!/203110;
2/22/2016 11:43:24 PM;Stephen Curry;Curry scored 36 points (14-22 FG, 3-3 FT, 5-11 3Pt) to go along with six rebounds, eight assists and three steals in 36 minutes during Monday's win over the Hawks.;http://stats.nba.com/player/player/#!/201939;
2/22/2016 7:33:20 PM;Andrew Bogut;Bogut (Achillies) will play Monday against the Hawks.;http://stats.nba.com/player/player/#!/101106;
2/22/2016 12:53:08 PM;Anderson Varejao;Varejao will not play Monday against Atlanta, but could play as soon as Wednesday in Miami, Rusty Simmons of the San Francisco Chronicle reports.;http://stats.nba.com/player/player/#!/2760;
2/22/2016 12:53:08 PM;Andrew Bogut;Bogut (Achilles) is listed as questionable for Monday's game against the Hawks, Chris Vivlamore of the Atlanta Journal-Constitution reports.;http://stats.nba.com/player/player/#!/101106;
2/21/2016 10:18:16 PM;Anderson Varejao;Varejao reached an agreement with the Warriors on Sunday, according to Shams Charania of Yahoo! Sports.;http://stats.nba.com/player/player/#!/2760;
2/21/2016 3:38:15 PM;Marreese Speights;Speights played just nine minutes in Saturday's win over the Clippers. He had four points (2-4 FG) with one rebounds in the win.;http://stats.nba.com/player/player/#!/201578;
2/21/2016 3:13:22 PM;Brandon Rush;Rush started Saturday and scored six points (3-6 FG, 0-1 3Pt) along with five rebounds, three assists, one steal, and one blocked shot in 27 minutes in Saturday's win over the Clippers.;http://stats.nba.com/player/player/#!/201575;
2/20/2016 11:48:14 PM;Draymond Green;Green contributed 18 points (9-14 FG, 0-3 3Pt), 11 rebounds and 10 assists over 38 minutes in Saturday's win against the Clippers.;http://stats.nba.com/player/player/#!/203110;
2/20/2016 11:48:14 PM;Klay Thompson;Thompson poured in 32 points (11-22 FG, 4-9 3Pt, 6-6 FT), seven rebounds, three assists and three steals over 40 minutes in Saturday's win against the Clippers.;http://stats.nba.com/player/player/#!/202691;
2/20/2016 8:53:12 PM;Brandon Rush;Rush will start Saturday against the Clippers.;http://stats.nba.com/player/player/#!/201575;
2/20/2016 8:03:14 PM;Andrew Bogut;Bogut (Achilles) will not play Saturday against the Clippers, the San Francisco Chronicle reports.;http://stats.nba.com/player/player/#!/101106;
2/20/2016 6:48:17 PM;Andrew Bogut;Bogut (sore Achilles) is questionable for Saturday's game against the Clippers.;http://stats.nba.com/player/player/#!/101106;
2/20/2016 9:13:13 AM;Stephen Curry;Curry scored 31 points (12-23 FG, 7-13 3Pt) with three rebounds, five assists and two steals in Friday night's loss to the Trail Blazers.;http://stats.nba.com/player/player/#!/201939;
2/20/2016 8:48:14 AM;Draymond Green;Green had 14 points (5-7 FG, 2-2 3Pt, 2-2 FT) with 12 rebounds and eight assists in Friday night's 137-105 loss to Portland.;http://stats.nba.com/player/player/#!/203110;
2/18/2016 5:38:23 PM;Festus Ezeli;Ezeli (knee) could return for the final week of the regular season, the San Francisco Chronicle reports. "The goal is still at hand, and we want to win a championship," Ezeli said after Thursday’s practice. "I realize I’m part of that dream, so I have to;http://stats.nba.com/player/player/#!/203105;
2/15/2016 12:03:24 AM;Stephen Curry;Curry scored 26 points (10-18 FG, 6-13 3Pt) and added six assists, five rebounds and four steals across 29 minutes in Sunday's All-Star game.;http://stats.nba.com/player/player/#!/201939;
2/14/2016 12:43:22 AM;Klay Thompson;Thompson dethroned his Warriors teammate Steph Curry in Saturday's All-Star Three-Point competition, scoring 27 of a possible 30 points in the final round.;http://stats.nba.com/player/player/#!/202691;
2/14/2016 12:43:22 AM;Stephen Curry;Curry came up just short of repeating as All-Star Three-Point champion Saturday, falling to teammate Klay Thompson 27-23 in the final round.;http://stats.nba.com/player/player/#!/201939;
2/12/2016 5:53:21 PM;Jason Thompson;Thompson has seen only a limited role off the bench for Golden State through the first half of the season.;http://stats.nba.com/player/player/#!/201574;
2/12/2016 5:03:21 PM;Ian Clark;Clark has been a DNP-CD in three of the Warriors' last four games.;http://stats.nba.com/player/player/#!/203546;
2/12/2016 5:03:21 PM;Brandon Rush;Rush contributed five points (5-6 FT) and five rebounds in 16 minutes off the bench Wednesday against Phoenix.;http://stats.nba.com/player/player/#!/201575;
2/11/2016 5:18:17 PM;Stephen Curry;Curry registered 26 points (9-17 FG, 5-10 3Pt, 3-4 FT), nine assists, nine rebounds, one steal, and one block across 30 minutes in Wednesday's 112-104 win over the Suns.;http://stats.nba.com/player/player/#!/201939;
2/11/2016 8:33:10 AM;Klay Thompson;Thompson scored 24 points (8-20 FG, 5-13 3Pt, 3-3 FT) with three rebounds, one assist, and five steals in Wednesday night's 112-104 victory over the Suns.;http://stats.nba.com/player/player/#!/202691;
2/11/2016 12:38:11 AM;Harrison Barnes;Barnes scored eight points (3-11 FG, 2-7 3Pt) to go with six rebounds and one assist over 31 minutes in Wednesday's win against the Suns.;http://stats.nba.com/player/player/#!/203084;
2/11/2016 12:13:15 AM;Andre Iguodala;Iguodala scored just two points (1-5 FG, 0-2 3Pt) while collecting two rebounds and three assists over 21 minutes in Wednesday's win against the Suns.;http://stats.nba.com/player/player/#!/2738;
2/10/2016 11:48:11 PM;Draymond Green;Green contributed nine points (1-5 FG, 1-2 3Pt, 6-8 FT), six rebounds and three assists in 28 minutes during Wednesday's win against the Suns.;http://stats.nba.com/player/player/#!/203110;
2/10/2016 3:03:18 PM;James McAdoo;McAdoo (toe) is out for Wednesday's game against the Suns.;http://stats.nba.com/player/player/#!/203949;
2/10/2016 8:48:22 AM;Marreese Speights;Speights scored 15 points (5-9 FG, 1-2 3Pt, 4-5 FT) with four rebounds in 12 minutes in Tuesday night's win over the Rockets. It was his second straight game with 15 points off the bench.;http://stats.nba.com/player/player/#!/201578;
2/10/2016 3:48:20 AM;Andre Iguodala;Iguodala produced 12 points (4-8 FG, 2-4 3Pt, 2-2 FT), six rebounds, and six assists in 31 minutes during the Warriors' 123-110 win versus the Rockets on Tuesday.;http://stats.nba.com/player/player/#!/2738;
2/10/2016 3:23:20 AM;Stephen Curry;Curry recorded 35 points (12-24 FG, 7-16 3Pt, 4-4 FT), nine assists, five rebounds, and one steal in 38 minutes during the Warriors' 123-110 win over the Rockets on Tuesday.;http://stats.nba.com/player/player/#!/201939;
2/10/2016 3:23:20 AM;Harrison Barnes;Barnes contributed 19 points (8-12 FG, 2-4 3Pt, 1-1 FT), seven rebounds, and two assists in 32 minutes during the Warriors' 123-110 win over the Rockets on Tuesday.;http://stats.nba.com/player/player/#!/203084;
2/10/2016 3:23:20 AM;Andrew Bogut;Bogut provided 13 points (5-10 FG, 3-4 FT), 11 rebounds, six blocks, three steals, and one assist in 29 minutes during the Warriors' 123-110 victory over the Rockets on Tuesday.;http://stats.nba.com/player/player/#!/101106;
2/9/2016 6:58:21 AM;Festus Ezeli;Ezeli (knee) will miss at least six weeks after undergoing arthroscopic surgery on his left knee Monday, the San Francisco Chronicle reports.;http://stats.nba.com/player/player/#!/203105;
2/8/2016 5:38:24 PM;Marreese Speights;Coach Steve Kerr confirmed that Speights would see an increased role off the bench in the coming weeks while Festus Ezeli remains out indefinitely following knee surgery, CSN Bay Area's Monte Poole reports.;http://stats.nba.com/player/player/#!/201578;
2/8/2016 3:33:25 PM;Festus Ezeli;Ezeli underwent surgery on his left knee Monday and is out indefinitely, Rusty Simmons of the San Francisco Chronicle reports.;http://stats.nba.com/player/player/#!/203105;
2/7/2016 4:58:11 AM;Klay Thompson;Thompson poured in 18 points (8-15 FG, 1-6 3Pt, 1-1 FT) and four rebounds over 34 minutes in Saturday's 116-108 victory over the Thunder.;http://stats.nba.com/player/player/#!/202691;
2/7/2016 4:58:11 AM;Marreese Speights;Speights equaled a season high with 15 points (6-10 FG, 1-1 3Pt, 2-2 FT), and added two rebounds, two assists and a block over 17 minutes in Saturday's 116-108 victory over the Thunder.;http://stats.nba.com/player/player/#!/201578;
2/7/2016 4:33:11 AM;Stephen Curry;Curry contributed 26 points (10-26 FG, 1-9 3Pt, 5-5 FT), 10 assists, six rebounds and three steals over 38 minutes in Saturday's 116-108 victory over the Thunder.;http://stats.nba.com/player/player/#!/201939;
2/7/2016 4:33:11 AM;Harrison Barnes;Barnes pitched in 19 points (8-14 FG, 3-6 3Pt) and four rebounds over 36 minutes in Saturday's 116-108 victory over the Thunder.;http://stats.nba.com/player/player/#!/203084;
2/6/2016 10:18:12 PM;Stephen Curry;Curry suffered a bloodied nose in Saturday's game against the Thunder and is scheduled to return, according to Marc J. Spears of Yahoo!.;http://stats.nba.com/player/player/#!/201939;
2/6/2016 8:58:17 AM;Festus Ezeli;Ezeli (knee) is unlikely to return to action until after the NBA All-Star break, the San Jose Mercury News reports. The Warriors' first game following the All-Star break is Feb. 19 at Portland.;http://stats.nba.com/player/player/#!/203105;
2/5/2016 3:28:16 PM;James McAdoo;McAdoo (toe) has been ruled out for Friday's game against the Thunder, Rusty Simmons of the San Francisco Chronicle reports.;http://stats.nba.com/player/player/#!/203949;
2/5/2016 3:03:17 PM;Festus Ezeli;Ezeli (knee) has been ruled out for Friday's game against the Warriors, Rusty Simmons of The San Francisco Chronicle reports.;http://stats.nba.com/player/player/#!/203105;
2/3/2016 11:53:22 PM;Leandro Barbosa;Barbosa contributed four points (1-5 FG, 0-1 3Pt, 2-2 FT), two assists, and one rebound in 15 minutes during the Warriors' 134-121 win against the Wizards on Wednesday.;http://stats.nba.com/player/player/#!/2571;
2/3/2016 11:53:22 PM;Shaun Livingston;Livingston totaled nine points (4-5 FG, 1-2 FT), six assists, two rebounds, and two steals in 15 minutes during the Warriors' 134-121 win against the Wizards on Wednesday.;http://stats.nba.com/player/player/#!/2733;
2/3/2016 11:28:23 PM;Stephen Curry;Curry recorded 51 points (19-28 FG, 11-16 3Pt, 2-3 FT), seven rebounds, three steals, and two assists in 36 minutes during the Warriors' 134-121 win over the Wizards on Wednesday.;http://stats.nba.com/player/player/#!/201939;
2/3/2016 11:28:23 PM;Draymond Green;Green had 12 points (3-5 FG, 0-1 3Pt, 6-9 FT), 12 assists, 10 rebounds, five blocks, and one steal in 34 minutes during the Warriors' 134-121 win against the Wizards on Wednesday.;http://stats.nba.com/player/player/#!/203110;
2/3/2016 11:28:22 PM;Klay Thompson;Thompson recorded 24 points (8-19 FG, 6-13 3Pt, 2-2 FT), four rebounds, and one steal in 33 minutes during the Warriors' 134-121 win over the Wizards on Wednesday.;http://stats.nba.com/player/player/#!/202691;
2/2/2016 6:18:33 PM;James McAdoo;McAdoo (toe) has been ruled out for Wednesday's game against the Wizards, Rusty Simmons of the SF Chronicle reports.;http://stats.nba.com/player/player/#!/203949;
2/2/2016 6:18:32 PM;Kevon Looney;Looney has been recalled from the D-League, Rusty Simmons of the SF Chronicle reports.;http://stats.nba.com/player/player/#!/1626172;
2/2/2016 8:43:23 AM;Draymond Green;Green said he was chasing a triple-double during last week's near-loss to Philadelphia, the San Francisco Chronicle reports.;http://stats.nba.com/player/player/#!/203110;
2/1/2016 8:40:10 PM;James McAdoo;McAdoo (toe) is doubtful to play in Wednesday's game against Washington, Rusty Simmons of The San Francisco Chronicle reports.;http://stats.nba.com/player/player/#!/203949;
2/1/2016 8:40:10 PM;Festus Ezeli;Ezeli (knee) will not play in Wednesday's game against the Wizards, Rusty Simmons of The San Francisco Chronicle reports.;http://stats.nba.com/player/player/#!/203105;
1/31/2016 11:23:18 PM;Draymond Green;Green delivered 20 points (9-9 FG, 2-2 3Pt, 0-2 FT), 10 rebounds, 10 assists, two steals, and two blocks in 37 minutes during the Warriors' 116-95 victory versus the Knicks on Sunday.;http://stats.nba.com/player/player/#!/203110;
1/31/2016 11:23:18 PM;Klay Thompson;Thompson contributed 34 points (14-18 FG, 5-6 3Pt, 1-1 FT), two assists, one rebound, and one steal in 32 minutes during the Warriors' 116-95 win against the Knicks on Sunday.;http://stats.nba.com/player/player/#!/202691;
1/31/2016 11:23:17 PM;Andre Iguodala;Iguodala (rest) contributed eight points (2-2 FG, 1-1 3Pt, 3-6 FT), four rebounds, and four assists in 23 minutes during the Warriors' 116-95 win over the Knicks on Sunday.;http://stats.nba.com/player/player/#!/2738;
1/31/2016 2:38:23 PM;Festus Ezeli;Ezeli (knee) has been ruled out of Sunday's game against the Knicks.;http://stats.nba.com/player/player/#!/203105;
1/31/2016 2:38:23 PM;James McAdoo;McAdoo (toe) has been ruled out of Sunday's game against the 76ers.;http://stats.nba.com/player/player/#!/203949;
1/31/2016 8:23:21 AM;Festus Ezeli;Ezeli underwent and MRI on his left knee earlier in the week, producing inconclusive results, the San Francisco Chronicle reports.;http://stats.nba.com/player/player/#!/203105;
1/30/2016 11:13:26 PM;Andrew Bogut;Bogut had eight points (4-8 FG), 16 rebounds, four assists and two blocks in a win against the Sixers on Saturday.;http://stats.nba.com/player/player/#!/101106;
1/30/2016 10:48:24 PM;Harrison Barnes;Barnes scored 11 points (4-11 FG, 3-5 3Pt) and had six rebounds, two assists and two steals on Saturday in a win against the Sixers.;http://stats.nba.com/player/player/#!/203084;
1/30/2016 9:58:23 PM;Draymond Green;Green had 10 points (5-7 FG, 0-1 FT), 13 rebounds, nine assists, two steals and a block on Saturday in a win against the Sixers.;http://stats.nba.com/player/player/#!/203110;
1/30/2016 9:08:23 PM;Klay Thompson;Thompson scored 32 points (14-26 FG, 4-10 3Pt) to go along with three assists and two rebounds in a win Saturday against the Sixers.;http://stats.nba.com/player/player/#!/202691;
1/30/2016 8:43:23 PM;Stephen Curry;Curry had 23 points (9-19 FG, 5-11 3Pt), six assists, five rebounds, two blocks and a steal in a win against the Sixers on Saturday.;http://stats.nba.com/player/player/#!/201939;
1/30/2016 7:53:22 PM;Andre Iguodala;Iguodala will return for Sunday's game at New York, Rusty Simmons of the San Francisco Chronicle reports.;http://stats.nba.com/player/player/#!/2738;
1/30/2016 5:23:27 PM;Andre Iguodala;Iguodala (rest) will not play Saturday against Philadelphia.;http://stats.nba.com/player/player/#!/2738;
