time;player;headline;playerlink;
2/22/2016 2:58:24 PM;Donatas Motiejunas;Motiejunas will return to the Rockets after the trade that sent him to Detroit last week was voided Monday, Keith Pompey of the Philadelphia Inquirer reports.;http://stats.nba.com/player/player/#!/202700;
2/22/2016 2:58:23 PM;Marcus Thornton;Both Thornton and Donatas Motiejunas will return to the Rockets after the deal that sent them to Detroit last week was voided Monday, Keith Pompey of the Philadelphia Inquirer reports.;http://stats.nba.com/player/player/#!/201977;
2/22/2016 1:43:24 PM;Sam Dekker;Dekker was recalled from the D-League to practice Monday, but will return to the Rio Grande Valley Vipers to "load" up on some minutes, Calvin Watkins of ESPN.com reports.;http://stats.nba.com/player/player/#!/1626155;
2/22/2016 12:28:15 PM;Sam Dekker;Dekker has been recalled from the D-League's Rio Grande Valley Vipers, Jonathan Feigen of the Houston Chronicle reports.;http://stats.nba.com/player/player/#!/1626155;
2/21/2016 2:23:16 PM;Terrence Jones;Jones (concussion) went through practice Sunday, Jonathan Feigen of the Houston Chronicle reports.;http://stats.nba.com/player/player/#!/203093;
2/20/2016 11:18:20 AM;Trevor Ariza;Ariza scored 25 points (8-12 FG, 4-7 3Pt, 5-6 FT) while adding six rebounds, five steals and three assists in 32 minutes during Friday's win over the Suns.;http://stats.nba.com/player/player/#!/2772;
2/20/2016 11:18:19 AM;James Harden;Harden scored 27 points (6-16 FG, 1-9 3Pt, 14-17 FT) while adding 10 rebounds, seven assists, three steals and a block in 33 minutes during Friday's win over the Suns.;http://stats.nba.com/player/player/#!/201935;
2/20/2016 12:53:18 AM;Josh Smith;Smith did not play in the fourth quarter of Friday's game against Phoenix due to a cramp in his calf, Calvin Watkins of ESPN.com reports.;http://stats.nba.com/player/player/#!/2746;
2/19/2016 9:33:14 PM;Patrick Beverley;Beverley (ankle) is in the starting lineup for Friday's game against Phoenix.;http://stats.nba.com/player/player/#!/201976;
2/19/2016 1:13:15 PM;Sam Dekker;Dekker (back) has been assigned to the D-League's Rio Grande Valley Vipers, Jenny Dial Creech of the Houston Chronicle reports.;http://stats.nba.com/player/player/#!/1626155;
2/18/2016 1:03:18 PM;Joel Anthony;Anthony and a top-eight 2016 protected first-round pick were traded to the Rockets on Thursday in exchange for Donatas Motiejunas and Marcus Thornton, Adrian Wojnarowski of Yahoo! Sports reports.;http://stats.nba.com/player/player/#!/201202;
2/18/2016 12:13:21 PM;Sam Dekker;Dekker (back) took part in a full-contact practice Wednesday, Jonathan Feigen of the Houston Chronicle reports.;http://stats.nba.com/player/player/#!/1626155;
2/17/2016 7:58:10 PM;Terrence Jones;Jones (concussion) isn't with the Rockets in advance of Friday's game in Phoenix, Calvin Watkings of ESPN.com reports.;http://stats.nba.com/player/player/#!/203093;
