time;player;headline;playerlink;
2/22/2016 10:53:24 PM;Paul George;George scored a game-high 31 points (11-24 FG, 4-7 3Pt, 5-7 FT) while ripping down 11 rebounds with four assists and three steals over 42 minutes in Monday's 101-93 overtime loss to the Heat.;http://stats.nba.com/player/player/#!/202331;
2/22/2016 6:43:28 PM;C.J. Miles;Miles (calf) has been ruled out of Monday's game against the Heat, Nate Taylor of the Indianapolis Star reports.;http://stats.nba.com/player/player/#!/101139;
2/22/2016 6:18:40 PM;George Hill;Hill (elbow) will play and start in Monday's game against the Heat, broadcaster Chris Denari reports.;http://stats.nba.com/player/player/#!/201588;
2/22/2016 12:53:08 PM;George Hill;Hill is listed as questionable for Monday's game against the Heat with a right elbow sprain, the team announced.;http://stats.nba.com/player/player/#!/201588;
2/22/2016 12:53:07 PM;C.J. Miles;Miles (calf) is listed as doubtful for Monday's game against the Heat, the team announced.;http://stats.nba.com/player/player/#!/101139;
2/22/2016 10:23:28 AM;C.J. Miles;Miles said after Sunday's win over the Magic that he heard a "pop" in his calf when he departed the contest with what was later diagnosed as a left calf strain, Nate Taylor of the Indianapolis Star reports.;http://stats.nba.com/player/player/#!/101139;
2/22/2016 12:23:16 AM;Jordan Hill;Hill had 13 points (6-10 FG, 1-2 FT), 10 rebounds, and two assists in 16 minutes during the Pacers' 105-102 win against the Magic on Sunday.;http://stats.nba.com/player/player/#!/201941;
2/22/2016 12:23:16 AM;George Hill;Hill had eight points (2-11 FG, 0-3 3Pt, 4-6 FT), seven rebounds, seven assists, one steal, and one block in 34 minutes during the Pacers' 105-102 victory versus the Magic on Sunday.;http://stats.nba.com/player/player/#!/201588;
2/22/2016 12:23:15 AM;Lavoy Allen;Allen scored two points (1-2 FG) and added three assists and one steal in 17 minutes during the Pacers' 105-102 victory versus the Magic on Sunday.;http://stats.nba.com/player/player/#!/202730;
2/21/2016 8:13:19 PM;C.J. Miles;Miles strained his left calf during Sunday's game against Orlando and is doubtful to return to the contest.;http://stats.nba.com/player/player/#!/101139;
2/21/2016 11:53:15 AM;C.J. Miles;Miles will play in Sunday's game against the Magic, Nate Taylor of the Indy Star reports.;http://stats.nba.com/player/player/#!/101139;
