time;player;headline;playerlink;
2/23/2016 1:48:28 AM;Chris Paul;Paul (thigh) provided 16 points (6-11 FG, 1-2 3Pt, 3-3 FT), 14 assists, two rebounds, and two steals in 27 minutes during the Clippers' 124-84 win versus the Spurs on Monday.;http://stats.nba.com/player/player/#!/101108;
2/23/2016 1:48:27 AM;J.J. Redick;Redick recorded 22 points (7-14 FG, 4-6 3Pt, 4-4 FT), three rebounds, two assists, and one steal in 25 minutes during the Clippers' 124-84 victory over the Suns on Monday.;http://stats.nba.com/player/player/#!/200755;
2/23/2016 1:48:25 AM;Jeff Green;Green scored 18 points (6-10 FG, 2-3 3Pt, 4-7 FT) and added five rebounds, two assists, and one block in 24 minutes during the Clippers' 124-84 win against the Suns on Monday.;http://stats.nba.com/player/player/#!/201145;
2/22/2016 3:48:20 PM;Branden Dawson;Dawson was assigned to the Erie Bayhawks of the D-League on Monday, Rowan Cavner of Clippers.com reports.;http://stats.nba.com/player/player/#!/1626183;
2/22/2016 2:58:23 PM;Chris Paul;Paul (thigh) is fine and will play Monday against the Suns, Brad Turner of the Los Angeles Times reports.;http://stats.nba.com/player/player/#!/101108;
2/21/2016 1:08:19 PM;Pablo Prigioni;Prigioni (illness) played 10 minutes in Saturday's 115-112 loss to the Warriors and finished with six points (2-4 FG, 2-3 3Pt), three rebounds, two assists, and a steal.;http://stats.nba.com/player/player/#!/203143;
2/21/2016 12:13:16 AM;Paul Pierce;Pierce finished with two points (1-7 FG, 0-3 3Pt) and two assists over 16 minutes in Saturday's loss to the Warriors.;http://stats.nba.com/player/player/#!/1718;
2/21/2016 12:13:15 AM;Jamal Crawford;Crawford tallied 25 points (7-18 FG, 3-8 3Pt, 8-8 FT) to go with three rebounds, three assists, and three steals over 38 minutes in Saturday's loss.;http://stats.nba.com/player/player/#!/2037;
2/20/2016 11:48:14 PM;Jeff Green;Green scored five points (2-7 FG, 0-1 3Pt, 1-2 FT) to go with two rebounds and one assist over 12 minutes in his Clippers debut Saturday.;http://stats.nba.com/player/player/#!/201145;
2/20/2016 11:48:14 PM;Chris Paul;Paul left Saturday's loss to Golden State with a thigh injury but is expected to be OK, reports.;http://stats.nba.com/player/player/#!/101108;
2/20/2016 7:13:12 PM;Jeff Green;Green will be available off the bench for Saturday's game against the Warriors, Rusty Simmons of the San Francisco Chronicle reports.;http://stats.nba.com/player/player/#!/201145;
2/19/2016 3:43:16 PM;Jeff Green;Green was at Clippers practice Friday, but is still adjusting to his new team following Thursday's trade, Dan Woike of the Orange County Register reports.;http://stats.nba.com/player/player/#!/201145;
2/19/2016 2:28:15 PM;Austin Rivers;Rivers (hand) is confident that he's ahead of schedule in his recovery from a fractured left hand, Clippers.com reports. "It’s actually healing really fast," Rivers said. "From last week to this week is a whole different feeling. I just have to keep doing;http://stats.nba.com/player/player/#!/203085;
2/19/2016 11:08:18 AM;Jamal Crawford;Crawford scored 19 points (7-15 FG, 3-6 3Pt, 2-2 FT), and added six assists and two rebounds over 30 minutes in Thursday's 105-86 victory over the Spurs.;http://stats.nba.com/player/player/#!/2037;
2/19/2016 10:43:08 AM;Chris Paul;Paul tallied 28 points (9-18 FG, 3-7 3Pt, 7-7 FT), 12 assists, five rebounds, a steal and a block over 37 minutes in Thursday's 105-86 victory over the Spurs.;http://stats.nba.com/player/player/#!/101108;
2/19/2016 10:43:08 AM;DeAndre Jordan;Jordan totaled nine points (4-6 FG, 1-2 FT), 17 rebounds, an assist, three steals and two blocks over 37 minutes in Thursday's 105-86 victory over the Spurs.;http://stats.nba.com/player/player/#!/201599;
2/18/2016 8:58:08 PM;Pablo Prigioni;Prigioni will not play in Thursday's game against the Spurs because of an illness, Dan Woike of the Orange County Register reports.;http://stats.nba.com/player/player/#!/203143;
