time;player;headline;playerlink;
2/23/2016 12:33:33 AM;Lou Williams;Williams had 14 points (2-12 FG, 0-4 3Pt, 10-13 FT), six rebounds, four assists, and two steals in 30 minutes during the Lakers' 108-101 loss to the Bucks on Monday.;http://stats.nba.com/player/player/#!/101150;
2/23/2016 12:08:25 AM;Kobe Bryant;Bryant (finger) had 15 points (3-12 FG, 1-5 3Pt, 8-9 FT), five rebounds, two assists, and one steal in 24 minutes during the Lakers' 108-101 loss to the Bucks on Monday.;http://stats.nba.com/player/player/#!/977;
2/23/2016 12:08:24 AM;Nick Young;Young recorded 19 points (5-12 FG, 3-8 3Pt, 6-8 FT), three rebounds, and one assist in 24 minutes during the Lakers' 108-101 loss against the Bucks on Monday.;http://stats.nba.com/player/player/#!/201156;
2/23/2016 12:08:21 AM;D'Angelo Russell;Russell recorded nine points (3-5 FG, 3-4 3Pt), five rebounds, and four assists in 29 minutes during the Lakers' 108-101 loss to the Bucks on Monday.;http://stats.nba.com/player/player/#!/1626156;
2/22/2016 11:43:26 PM;Larry Nance;Nance (knee) intends to play in Wednesday's game against the Grizzlies, Mike Trudell of Lakers.com reports.;http://stats.nba.com/player/player/#!/1626204;
2/22/2016 10:28:19 PM;Larry Nance;Nance will not return to Monday's matchup with the Bucks due to a sore right kneeMark Medina of the Los Angeles Daily News reports.;http://stats.nba.com/player/player/#!/1626204;
2/22/2016 7:58:20 PM;Kobe Bryant;Bryant (finger) will start Monday versus the Bucks.;http://stats.nba.com/player/player/#!/977;
2/22/2016 7:08:23 PM;Kobe Bryant;Coach Byron Scott expects Bryant (finger) to play Monday against the Bucks, Mark Medina of the L.A. Daily News reports.;http://stats.nba.com/player/player/#!/977;
2/22/2016 11:13:17 AM;Julius Randle;Randle scored 22 points (10-19 FG, 0-1 3Pt, 2-3 FT) while adding 12 rebounds in 32 minutes during Sunday's loss to the Bulls.;http://stats.nba.com/player/player/#!/203944;
2/22/2016 11:13:17 AM;Kobe Bryant;Bryant scored 22 points (8-20 FG, 1-7 3Pt, 5-7 FT) while adding four rebounds and an assist in 27 minutes during Sunday's loss to the Bulls.;http://stats.nba.com/player/player/#!/977;
2/21/2016 11:33:20 PM;Lou Williams;Williams is expected to give way to D'Angelo Russell in the starting lineup for the remainder of the season, Baxter Holmes of ESPN Los Angeles reports;http://stats.nba.com/player/player/#!/101150;
2/21/2016 11:08:14 PM;D'Angelo Russell;Russell was named as a starter for the rest of the season after Sunday's loss to the Bulls, Baxter Holmes of ESPN Los Angeles reports.;http://stats.nba.com/player/player/#!/1626156;
2/21/2016 8:13:24 PM;D'Angelo Russell;Russell will get the start over Lou Williams in Sunday's game against the Bulls, Baxter Holmes of ESPN Los Angeles reports.;http://stats.nba.com/player/player/#!/1626156;
2/21/2016 8:13:22 PM;Lou Williams;Williams is not in the starting lineup for Sunday's game against the Bulls, Baxter Holmes of ESPN Los Angeles reports.;http://stats.nba.com/player/player/#!/101150;
