time;player;headline;playerlink;
2/23/2016 12:33:28 AM;Luol Deng;Deng suffered a double dislocation of his right middle finger in Monday's overtime win over the Pacers, Ethan Skolnick of the Miami Herald reports.;http://stats.nba.com/player/player/#!/2736;
2/22/2016 11:43:29 PM;Beno Udrih;X-rays on Udrih's foot came back negative following his early departure from Monday's game against the Pacers, Ethan Skolnick of the Miami Herald reports.;http://stats.nba.com/player/player/#!/2757;
2/22/2016 10:53:22 PM;Hassan Whiteside;Whiteside scored 19 points (8-17 FG, 3-4 FT) while pulling down 18 rebounds with six blocks during 41 minutes off the bench in Monday's 101-93 overtime win against the Pacers.;http://stats.nba.com/player/player/#!/202355;
2/22/2016 10:53:21 PM;Goran Dragic;Dragic scored a team-high 24 points (10-17 FG, 1-2 3Pt, 3-6 FT) to go along with eight rebounds and five assists over 41 minutes in Monday's 101-93 overtime win against the Pacers.;http://stats.nba.com/player/player/#!/201609;
2/22/2016 10:53:21 PM;Luol Deng;Deng scored 13 points (5-18 FG, 0-3 3Pt, 3-5 FT) but ripped down 16 rebounds over 37 minutes in Monday's 101-93 overtime win against the Pacers.;http://stats.nba.com/player/player/#!/2736;
2/22/2016 9:13:21 PM;Beno Udrih;Udrih wil not return to Monday's matchup with the Pacers due to a left foot injury, Jason Lieser of The Palm Beach Post reports.;http://stats.nba.com/player/player/#!/2757;
2/22/2016 7:08:23 PM;Gerald Green;Green will draw the start Monday versus the the Pacers, Ethan J. Skolnick of the Miami Herald reports.;http://stats.nba.com/player/player/#!/101123;
2/22/2016 7:08:23 PM;Justise Winslow;Winslow will come off the bench Monday versus the Pacers, Ethan J. Skolnick of the Miami Herald reports.;http://stats.nba.com/player/player/#!/1626159;
2/22/2016 6:43:27 PM;Dwyane Wade;Wade (knee) will play Monday against the Pacers, Jason Lieser of The Palm Beach Post reports.;http://stats.nba.com/player/player/#!/2548;
2/22/2016 6:18:42 PM;Dwyane Wade;Wade (knee) is warming up with the intent to play Monday against the Pacers, Jason Lieser of the Palm Beach Post reports.;http://stats.nba.com/player/player/#!/2548;
2/22/2016 2:33:16 PM;Dwyane Wade;Wade (knee) is listed as a game-time decision for Monday's tilt with the Pacers, Jason Lieser of the Palm Beach Post reports.;http://stats.nba.com/player/player/#!/2548;
2/21/2016 3:38:16 PM;Chris Bosh;Bosh (calf) will not play in Monday's game against the Pacers, Ira Winderman of the South Florida Sun Sentinel reports.;http://stats.nba.com/player/player/#!/2547;
2/21/2016 3:13:21 PM;Dwyane Wade;Wade (knee) is listed as questionable for Monday's game against the Pacers, Ira Winderman of the South Florida Sun Sentinel reports.;http://stats.nba.com/player/player/#!/2548;
2/21/2016 12:13:15 AM;Gerald Green;Green only contributed five points (2-8 FG, 1-3 3Pt), two rebounds and a block in 29 minutes on Saturday in a win against the Wizards.;http://stats.nba.com/player/player/#!/101123;
2/20/2016 11:48:14 PM;Luol Deng;Deng scored 27 points (11-18 FG, 0-1 3Pt, 5-5 FT) to go along with 10 rebounds, four assists and a steal in 35 minutes on Saturday in a win over the Wizards.;http://stats.nba.com/player/player/#!/2736;
2/20/2016 11:48:13 PM;Justise Winslow;Winslow had 14 points (6-10 FG, 2-5 FT), six rebounds and an assist in 26 minutes on Saturday in a win against the Wizards.;http://stats.nba.com/player/player/#!/1626159;
2/20/2016 11:23:14 PM;Hassan Whiteside;Whiteside had 25 points (11-15 FG, 3-7 FT), 23 rebounds and two blocks in 29 minutes on Saturday in a win against the Wizards.;http://stats.nba.com/player/player/#!/202355;
2/20/2016 10:58:13 PM;Goran Dragic;Dragic scored 24 points (9-20 FG, 0-3 3Pt, 6-7 FT) to go along with eight assists, seven rebounds and a block in 30 minutes on Saturday in a win against the Wizards.;http://stats.nba.com/player/player/#!/201609;
2/20/2016 6:23:13 PM;Amar'e Stoudemire;Stoudemire will get the start Saturday against the Wizards, the Palm Beach Post's Jason Lieser reports.;http://stats.nba.com/player/player/#!/2405;
2/20/2016 5:58:18 PM;Dwyane Wade;Wade (knee) will not play Saturday against the Wizards, the Miami Herald's Ethan Skolnick reports.;http://stats.nba.com/player/player/#!/2548;
2/20/2016 5:58:17 PM;Gerald Green;Green will start at shooting guard again Saturday against the Wizards, the Miami Herald's Ethan Skolnick reports.;http://stats.nba.com/player/player/#!/101123;
2/20/2016 5:58:17 PM;Hassan Whiteside;Whiteside will come off the bench Saturday against the Wizards, the Palm Beach Post's Jason Lieser reports.;http://stats.nba.com/player/player/#!/202355;
2/20/2016 3:03:16 PM;Chris Bosh;Bosh (calf) has been ruled out of Saturday's game against the Wizards, Tim Reynolds of the Associated Press reports.;http://stats.nba.com/player/player/#!/2547;
2/20/2016 2:38:17 PM;Dwyane Wade;Wade (knee) is listed as questionable for Saturday's game against the Wizards, Tim Reynolds of the Associated Press reports.;http://stats.nba.com/player/player/#!/2548;
2/20/2016 9:38:14 AM;Justise Winslow;Winslow garnered the start at small forward in Friday's win over the Hawks and finished with 13 points (5-13 FG, 0-3 3Pt, 3-4 FT), nine rebounds, and two steals across 37 minutes.;http://stats.nba.com/player/player/#!/1626159;
2/20/2016 6:43:15 AM;Goran Dragic;Dragic dropped 17 points (6-14 FG, 1-4 3Pt, 4-5 FT), 10 assists, five rebounds, and four steals across 33 minutes during the Heat's 115-111 win against the Hawks on Friday.;http://stats.nba.com/player/player/#!/201609;
2/20/2016 6:18:15 AM;Luol Deng;Deng delivered 30 points (11-17 FG, 1-3 3Pt, 7-10 FT), 11 rebounds, and four steals in 38 minutes during the Heat's 115-111 win over the Hawks on Friday.;http://stats.nba.com/player/player/#!/2736;
2/20/2016 6:18:15 AM;Josh McRoberts;McRoberts poured in 19 points (8-13 FG, 3-5 3Pt), 10 assists, and six rebounds in 30 minutes during the Heat's 115-111 victory over the Hawks on Friday.;http://stats.nba.com/player/player/#!/201177;
2/20/2016 6:18:14 AM;Gerald Green;Green registered 14 points (6-13 FG, 1-3 3Pt, 1-3 FT), five rebounds, two assists, two steals, and one block in 37 minutes during the Heat's 115-111 win against the Hawks on Friday.;http://stats.nba.com/player/player/#!/101123;
2/19/2016 9:58:12 PM;Dwyane Wade;Wade is set to have an MRI on his injured knee over the weekend. "It's just soreness in the back of my left knee that I haven't felt in awhile. We'll get back tomorrow, get a MRI and check it out," said Wade on Friday;http://stats.nba.com/player/player/#!/2548;
2/19/2016 7:53:43 PM;Gerald Green;Green will start Friday's game in Atlanta, Shandel Richardson of the South Florida Sun Sentinel reports.;http://stats.nba.com/player/player/#!/101123;
2/19/2016 6:38:14 PM;Dwyane Wade;Wade (knee) has been ruled out for Friday's game against Atlanta, Jason Lieser of the Palm Beach Post reports.;http://stats.nba.com/player/player/#!/2548;
2/19/2016 12:23:26 PM;Dwyane Wade;Wade (knee) is listed as a game-time call for Friday's game against the Hawks, Shandel Richardson of the South Florida Sun Sentinel reports.;http://stats.nba.com/player/player/#!/2548;
2/18/2016 2:18:20 PM;Dwyane Wade;Wade was a limited participant in Thursday's practice due to unspecified soreness.;http://stats.nba.com/player/player/#!/2548;
2/17/2016 3:48:18 PM;Chris Bosh;Bosh (calf) will not practice Wednesday and the team announced that he will not travel with the team for Miami's game in Atlanta on Friday, Ira Winderman of the South Florida Sun Sentinel reports.;http://stats.nba.com/player/player/#!/2547;
2/17/2016 2:58:18 PM;Gerald Green;Green is averaging 7.6 points (on 38.2% shooting), 4.4 rebounds, 0.8 assists, and 0.6 treys across 25.4 minutes over five appearances in February.;http://stats.nba.com/player/player/#!/101123;
2/16/2016 4:03:24 PM;Brian Roberts;Roberts was involved in a three-team trade Tuesday which ultimately sends him to Miami, Adrian Wojnarowski of The Vertical reports.;http://stats.nba.com/player/player/#!/203148;
2/16/2016 3:38:22 PM;Chris Bosh;Bosh (claf) will resume taking blood thinners to treat a blood clot in his leg, Tim Reynolds of NBA.com reports.;http://stats.nba.com/player/player/#!/2547;
2/16/2016 1:28:30 AM;Chris Bosh;Bosh is dealing with another blood-clotting incident in his left calf and will undergo further medical examinations Thursday to determine whether or not he'll be able to return this season, Adrian Wojnarowski of The Vertical reports.;http://stats.nba.com/player/player/#!/2547;
2/15/2016 11:48:30 PM;Chris Bosh;Bosh is undergoing further testing on his calf as there's growing concern he's dealing with something more severe than a strain, Barry Jackson of the Miami Herald reports.;http://stats.nba.com/player/player/#!/2547;
2/15/2016 5:08:47 PM;Jarnell Stokes;Stokes was recalled from the D-League on Monday.;http://stats.nba.com/player/player/#!/203950;
2/15/2016 3:04:29 PM;Josh Richardson;Richardson was a DNP-CD in each of the Heat's last four games prior to the All-Star break.;http://stats.nba.com/player/player/#!/1626196;
2/12/2016 4:13:24 PM;Chris Bosh;Bosh will not play in Sunday's All-Star Game due to an undisclosed injury, Adrian Wojnarowski reports.;http://stats.nba.com/player/player/#!/2547;
2/11/2016 3:13:18 PM;Hassan Whiteside;Whiteside has been suspended for one game by the NBA and will be held out of Miami's game against Atlanta next Friday, Jason Lieser of The Palm Beach Post reports.;http://stats.nba.com/player/player/#!/202355;
2/10/2016 5:58:17 PM;Jarnell Stokes;Stokes was assigned to the D-League's Sioux Falls Skyforce on Wednesday, Ira Winderman of the South Florida Sun Sentinel reports.;http://stats.nba.com/player/player/#!/203950;
2/10/2016 2:13:19 PM;Luol Deng;Deng accrued 11 points (3-7 FG, 2-5 3Pt, 3-5 FT), two rebounds, and one steal across 26 minutes in Tuesday's 119-101 loss to the Spurs.;http://stats.nba.com/player/player/#!/2736;
2/10/2016 1:48:19 PM;Justise Winslow;Winslow played 24 minutes in Tuesday's 119-101 loss to the Spurs, providing only two points (1-2 FG, 0-1 3Pt) and one assist.;http://stats.nba.com/player/player/#!/1626159;
2/10/2016 1:48:19 PM;Beno Udrih;Udrih tallied 13 points (5-7 FG, 3-3 FT), three assists, and one rebound across 19 minutes in Tuesday's 119-101 loss to the Spurs.;http://stats.nba.com/player/player/#!/2757;
2/10/2016 12:53:23 AM;Hassan Whiteside;Whiteside had 14 points (6-9 FG, 2-3 FT), six rebounds and two blocks in 25 minutes on Tuesday in a loss to the Spurs.;http://stats.nba.com/player/player/#!/202355;
2/10/2016 12:28:33 AM;Chris Bosh;Bosh had 18 points (6-12 FG, 0-2 3Pt, 6-6 FT), five rebounds, two assists and a steal in 35 minutes on Tuesday in a loss to the Spurs.;http://stats.nba.com/player/player/#!/2547;
