time;player;headline;playerlink;
2/23/2016 12:08:28 AM;Michael Carter-Williams;Carter-Williams contributed 10 points (4-12 FG, 0-1 3Pt, 2-3 FT), five rebounds, two assists, two steals, and one block in 35 minutes during the Bucks' 108-101 win over the Lakers on Monday.;http://stats.nba.com/player/player/#!/203487;
2/22/2016 11:43:28 PM;Miles Plumlee;Plumlee poured in 14 points (7-7 FG, 0-4 FT), five rebounds, one assist, and one block in 21 minutes during the Bucks' 108-101 victory versus the Lakers on Monday.;http://stats.nba.com/player/player/#!/203101;
2/22/2016 11:18:23 PM;Giannis Antetokounmpo;Antetokounmpo scored 27 points (12-17 FG, 0-1 3Pt, 3-6 FT) and added 12 rebounds, 10 assists, four blocks, and three steals in 42 minutes during the Bucks' 108-101 win against the Lakers on Monday.;http://stats.nba.com/player/player/#!/203507;
2/22/2016 8:23:20 PM;Steve Novak;Novak will be available to play in Monday's game against the Lakers, Charles F. Gardner of the Milwaukee Journal Sentinel reports.;http://stats.nba.com/player/player/#!/200779;
2/22/2016 4:38:23 PM;Jerryd Bayless;Bayless (knee) has been ruled out for Monday's game against the Lakers, the Milwaukee Journal Sentinel reports.;http://stats.nba.com/player/player/#!/201573;
2/22/2016 4:38:23 PM;John Henson;Henson (back) is listed as out for Monday's game against the Lakers, the Milwaukee Journal Sentinel reports.;http://stats.nba.com/player/player/#!/203089;
2/22/2016 1:18:17 PM;Steve Novak;Novak officially signed with the Bucks and practiced with the team Monday morning, CF Gardner of the Journal Sentinel reports. It's unclear at this point whether Novak will be available Monday night against the Lakers.;http://stats.nba.com/player/player/#!/200779;
2/21/2016 11:33:22 PM;Steve Novak;Novak is set to sign with the Bucks, Marc Stein of ESPN.com reports.;http://stats.nba.com/player/player/#!/200779;
2/21/2016 2:18:13 AM;O.J. Mayo;Mayo had nine points (3-8 FG, 2-5 3Pt, 1-2 FT), seven rebounds, six assists and five steals in 38 minutes on Saturday in a win over the Hawks.;http://stats.nba.com/player/player/#!/201564;
2/21/2016 1:53:13 AM;Giannis Antetokounmpo;Antetokounmpo had 19 points (8-17 FG, 0-1 3Pt, 3-4 FT), 12 rebounds, three assists and two blocks in 38 minutes on Saturday in a win over the Hawks.;http://stats.nba.com/player/player/#!/203507;
2/21/2016 1:28:13 AM;Jabari Parker;Parker had a career-high 28 points (11-21 FG, 6-7 FT) and 13 rebounds to go along with two assists in 51 minutes on Saturday in a win over the Hawks.;http://stats.nba.com/player/player/#!/203953;
2/21/2016 1:28:13 AM;Greg Monroe;Monroe scored 24 points (10-20 FG, 4-7 FT) to go along with 12 rebounds, four assists, a block and a steal in 36 minutes on Saturday in a win over the Hawks.;http://stats.nba.com/player/player/#!/202328;
2/20/2016 10:53:16 AM;Khris Middleton;Middleton scored 20 points (6-17 FG, 3-4 3Pt, 5-7 FT) while adding seven assists, four rebounds, two steals and a block in 39 minutes during Friday's loss to the Hornets.;http://stats.nba.com/player/player/#!/203114;
2/20/2016 10:53:15 AM;Giannis Antetokounmpo;Antetokounmpo scored 18 points (7-17 FG, 0-1 3Pt, 4-6 FT) while adding 11 rebounds, four assists, a steal and a block in 39 minutes during Friday's loss to the Hornets.;http://stats.nba.com/player/player/#!/203507;
2/20/2016 10:28:18 AM;Jabari Parker;Parker scored a season-high 23 points (10-19 FG, 0-1 3Pt, 3-4 FT) while adding 11 rebounds, two assists and a steal in 42 minutes during Friday's loss to the Hornets.;http://stats.nba.com/player/player/#!/203953;
2/19/2016 7:28:14 PM;Jerryd Bayless;Bayless (knee) has been ruled out for Friday's game against Charlotte and Saturday's game against Atlanta, Charles Gardner of the Milwaukee Journal-Sentinel reports.;http://stats.nba.com/player/player/#!/201573;
2/18/2016 2:43:15 PM;Jerryd Bayless;Bayless hyper-extended his knee during Wednesday's practice and underwent an MRI on Thursday to reveal any possible damage, Charles F. Gardner of the Milwaukee Journal Sentinel reports.;http://stats.nba.com/player/player/#!/201573;
2/17/2016 11:43:11 PM;John Henson;Henson (back) was unable to practice when the Bucks returned to practice Wednesday but he did do some work on the side, Charles F. Gardner of the Milwaukee Journal-Sentinel reports.;http://stats.nba.com/player/player/#!/203089;
2/13/2016 11:23:19 AM;Greivis Vasquez;Vasquez (ankle) expects to be ready in three to four weeks, Marc J. Spears of Yahoo Sports reports.;http://stats.nba.com/player/player/#!/202349;
2/12/2016 12:53:33 PM;Damien Inglis;Inglis is averaging 10.5 points, 5.0 rebounds and 1.6 assists through 11 D-League games.;http://stats.nba.com/player/player/#!/203996;
2/12/2016 12:53:32 PM;Rashad Vaughn;Vaughn scored eight points (2-4 FG, 1-3 3Pt) in 14 minutes Thursday against the Wizards.;http://stats.nba.com/player/player/#!/1626173;
2/12/2016 12:28:41 PM;Tyler Ennis;Ennis has played only sparingly through the first half of the season, and he's averaging fewer than six minutes per game since Jan. 1.;http://stats.nba.com/player/player/#!/203898;
2/12/2016 12:28:40 PM;Johnny O'Bryant;O'Bryant has been a DNP-CD in each of the Bucks' last two games.;http://stats.nba.com/player/player/#!/203948;
2/12/2016 12:28:39 PM;Chris Copeland;Copeland has been a DNP-CD in five of Milwaukee's last six games.;http://stats.nba.com/player/player/#!/203142;
2/12/2016 1:13:32 AM;Giannis Antetokounmpo;Antetokounmpo scored 17 points (6-16 FG, 1-2 3Pt, 4-5 FT) to go along with 13 rebounds, three assists and a block in 37 minutes on Thursday in a win over the Wizards.;http://stats.nba.com/player/player/#!/203507;
2/12/2016 1:13:32 AM;Greg Monroe;Monroe scored 12 points (5-13 FG, 2-4 FT) to go along with nine rebounds, two steals and an assist in 33 minutes on Thursday in a win against the Wizards.;http://stats.nba.com/player/player/#!/202328;
2/12/2016 12:23:32 AM;Jabari Parker;Parker had 17 points (7-11 FG, 3-6 FT), nine rebounds, four assists and a steal in 41 minutes on Thursday in a win against the Wizards.;http://stats.nba.com/player/player/#!/203953;
2/11/2016 11:58:33 PM;Khris Middleton;Middleton scored 27 points (9-17 FG, 1-3 3Pt, 8-9 FT) to go along with nine assists, six rebounds and five steals in 40 minutes on Thursday in a win against the Wizards.;http://stats.nba.com/player/player/#!/203114;
2/11/2016 7:48:55 PM;O.J. Mayo;Mayo will draw a second consecutive start at point guard Thursday against the Wizards, C.F. Gardner of the Milwaukee Journal Sentinel reports.;http://stats.nba.com/player/player/#!/201564;
2/11/2016 7:48:55 PM;Miles Plumlee;Plumlee will draw a second consecutive start at center on Thursday against the Wizards, C.F. Gardner of the Milwaukee Journal Sentinel reports.;http://stats.nba.com/player/player/#!/203101;
2/10/2016 3:53:19 PM;John Henson;Henson (back) won't play Thursday against the Wizards, CF Gardner of the Journal Sentinel reports.;http://stats.nba.com/player/player/#!/203089;
2/10/2016 3:53:19 PM;Greg Monroe;Monroe will come off the bench again Thursday against Washington, Charles Gardner of the Milwaukee Journal Sentinel reports.;http://stats.nba.com/player/player/#!/202328;
2/10/2016 3:53:19 PM;Michael Carter-Williams;Carter-Williams will come off the bench again Thursday against Washington, CF Gardner of the Journal Sentinel reports.;http://stats.nba.com/player/player/#!/203487;
2/10/2016 10:53:19 AM;O.J. Mayo;Mayo (hamstring) tallied no points (0-2 FG, 0-2 3Pt), six assists, and one rebound across 18 minutes in Tuesday's 112-111 win over the Celtics.;http://stats.nba.com/player/player/#!/201564;
2/10/2016 10:53:18 AM;Jabari Parker;Parker provided 10 points (5-12 FG, 0-1 FT), three rebounds, two assists, and one steal across 27 minutes in Tuesday's 112-111 win over the Celtics.;http://stats.nba.com/player/player/#!/203953;
2/10/2016 10:53:18 AM;Miles Plumlee;Plumlee recorded six points (3-6 FG), five rebounds, and one block across 18 minutes in Tuesday's 112-111 win over the Celtics.;http://stats.nba.com/player/player/#!/203101;
2/10/2016 12:28:32 AM;Michael Carter-Williams;Carter-Williams scored 16 points (6-8 FG, 0-1 3Pt, 4-6 FT) to go with six rebounds, five assists, and a steal over 26 minutes in a 112-111 victory over the Celtics on Tuesday.;http://stats.nba.com/player/player/#!/203487;
2/10/2016 12:03:22 AM;Greg Monroe;Monroe scored 29 points (13-21 FG, 3-6 FT) to go with 12 rebounds, three assists, two blocks, and a steal over 30 minutes in a 112-111 victory over the Celtics on Tuesday.;http://stats.nba.com/player/player/#!/202328;
2/10/2016 12:03:21 AM;Khris Middleton;Middleton scored 20 points (6-16 FG, 2-7 3Pt, 6-8 FT) to go with five rebounds and five assists over 38 minutes in a 112-111 victory over the Celtics on Tuesday.;http://stats.nba.com/player/player/#!/203114;
2/9/2016 7:28:25 PM;Miles Plumlee;Plumlee will start at center Tuesday against the Celtics, Gary Washburn of the Boston Globe reports;http://stats.nba.com/player/player/#!/203101;
2/9/2016 7:03:27 PM;Greg Monroe;Monroe will come off the bench Tuesday against the Celtics, Gary Washburn of the Boston Globe reports.;http://stats.nba.com/player/player/#!/202328;
2/9/2016 7:03:27 PM;Michael Carter-Williams;Carter-Williams will come off the bench Tuesday against the Celtics, Gary Washburn of the Boston Globe reports;http://stats.nba.com/player/player/#!/203487;
2/9/2016 7:03:27 PM;O.J. Mayo;Mayo will start at point guard Tuesday against the Celtics, Gary Washburn of the Boston Globe reports;http://stats.nba.com/player/player/#!/201564;
2/9/2016 5:48:22 PM;Jerryd Bayless;Bayless is dealing with a minor, left knee injury but will play Tuesday against the Celtics, A. Sherrod Blakely of CSN New England reports.;http://stats.nba.com/player/player/#!/201573;
2/8/2016 1:53:31 PM;John Henson;Henson (back) did not practice Monday and will not play Tuesday against the Celtics, Charles F. Gardner of the Milwaukee Journal Sentinel reports.;http://stats.nba.com/player/player/#!/203089;
2/8/2016 1:28:30 PM;O.J. Mayo;Mayo (hamstring) is set to return Tuesday against the Celtics, CF Gardner of the Journal Sentinel reports.;http://stats.nba.com/player/player/#!/201564;
2/6/2016 11:03:23 AM;Jerryd Bayless;Bayless managed 15 points (5-8 FG, 5-6 3Pt), three rebounds, two assists and a steal over 25 minutes in Friday's 84-81 loss to the Jazz.;http://stats.nba.com/player/player/#!/201573;
2/6/2016 11:03:23 AM;Giannis Antetokounmpo;Antetokounmpo tallied 14 points (4-8 FG, 1-2 3Pt, 5-8 FT), six rebounds, a steal and a block over 33 minutes in Friday's 84-81 loss to the Jazz.;http://stats.nba.com/player/player/#!/203507;
2/6/2016 10:38:22 AM;Khris Middleton;Middleton scored 18 points (6-16 FG, 1-4 3Pt, 5-5 FT), six rebounds, two assists and three steals over 40 minutes in Friday's 84-81 loss to the Jazz.;http://stats.nba.com/player/player/#!/203114;
2/5/2016 8:53:20 PM;John Henson;Henson (back) will not play Friday versus the Jazz, Aaron Falk of The Salt Lake Tribune reports.;http://stats.nba.com/player/player/#!/203089;
2/4/2016 7:03:19 PM;O.J. Mayo;Mayo (hamstring) went through practice on Thursday, but will not play in Friday's game against the Jazz, C.F. Gardner of the Milwaukee Journal Sentinel reports.;http://stats.nba.com/player/player/#!/201564;
