time;player;headline;playerlink;
2/23/2016 1:23:33 AM;Ricky Rubio;Rubio scored 15 points (3-7 FG, 0-1 3Pt, 9-11 FT) and added eight rebounds, eight assists, and one steal in 32 minutes during the Timberwolves' 124-122 victory versus the Celtics on Monday.;http://stats.nba.com/player/player/#!/201937;
2/23/2016 1:23:31 AM;Gorgui Dieng;Dieng managed 17 points (7-10 FG, 1-1 3Pt, 2-2 FT), 12 rebounds, two assists, one steal, and one block in 37 minutes during the Timberwolves' 124-122 victory over the Celtics on Monday.;http://stats.nba.com/player/player/#!/203476;
2/23/2016 12:58:32 AM;Karl-Anthony Towns;Towns recorded 28 points (13-22 FG, 1-2 3Pt, 1-2 FT), 13 rebounds, four assists, and two blocks in 36 minutes during the Timberwolves' 124-122 win against the Celtics on Monday.;http://stats.nba.com/player/player/#!/1626157;
2/23/2016 12:58:28 AM;Zach LaVine;LaVine scored 16 points (4-7 FG, 4-5 3Pt, 4-5 FT) and added five rebounds and three assists in 32 minutes during the Timberwolves' 124-122 win against the Celtics on Monday.;http://stats.nba.com/player/player/#!/203897;
2/22/2016 9:13:20 PM;Tayshaun Prince;Prince is probable to return Monday versus the Celtics after receiving six stitches due to a chin laceration.;http://stats.nba.com/player/player/#!/2419;
2/22/2016 1:18:17 PM;Kevin Garnett;Garnett (knee) has been ruled out of Monday's game against the Celtics, Gary Washburn of the Boston Globe reports.;http://stats.nba.com/player/player/#!/708;
2/22/2016 1:18:17 PM;Nikola Pekovic;Pekovic (ankle) has been ruled for Monday's game against the Celtics, Timberwolves play-by-play announcer Alan Horton reports.;http://stats.nba.com/player/player/#!/201593;
2/22/2016 1:18:17 PM;Nemanja Bjelica;Bjelica (foot) has been ruled out of Monday's game against the Celtics, Timberwolves play-by-play announcer Alan Horton reports.;http://stats.nba.com/player/player/#!/202357;
2/22/2016 12:28:14 PM;Zach LaVine;LaVine will move back into the starting lineup Monday against the Celtics, Kent Youngblood of the Minneapolis Star Tribune reports.;http://stats.nba.com/player/player/#!/203897;
2/21/2016 12:18:15 PM;Tayshaun Prince;Prince started at small forward, but did not score and had three rebounds in 21 minutes in Saturday's loss to the Knicks.;http://stats.nba.com/player/player/#!/2419;
2/20/2016 11:23:14 PM;Gorgui Dieng;Dieng finished with just three points (1-6 FG, 1-2 FT) to go with three rebounds and a blocked shot in 25 minutes during Saturday's loss to the Knicks.;http://stats.nba.com/player/player/#!/203476;
2/20/2016 10:58:12 PM;Kevin Martin;Martin finished with a single point (0-2 FG, 0-0 3PT, 1-2 FT) to go with three rebounds and one steal in 12 minutes during Saturday's loss to the Knicks.;http://stats.nba.com/player/player/#!/2755;
2/20/2016 3:28:15 PM;Nikola Pekovic;Pekovic (foot) will not play in Saturday's game against the Knicks, Jerry Zgoda of the Star Tribune reports.;http://stats.nba.com/player/player/#!/201593;
2/20/2016 3:28:15 PM;Kevin Garnett;Garnett (knee) has been ruled out of Saturday's game against the Knicks, Jerry Zgoda of the Star Tribune reports.;http://stats.nba.com/player/player/#!/708;
2/20/2016 3:03:14 PM;Nemanja Bjelica;Bjelica (foot) has been ruled out of Saturday's game against the Knicks, Jerry Zgoda of the Star Tribune reports.;http://stats.nba.com/player/player/#!/202357;
2/20/2016 10:04:20 AM;Adreian Payne;Payne had three rebounds but did not score in ten minutes in Friday's loss to Memphis.;http://stats.nba.com/player/player/#!/203940;
2/20/2016 10:04:20 AM;Tayshaun Prince;Prince did not play in Friday's loss to Memphis due to a coach's decision.;http://stats.nba.com/player/player/#!/2419;
2/20/2016 10:04:19 AM;Tyus Jones;Jones scored five points with two assists in 14 minutes in Friday's loss to Memphis.;http://stats.nba.com/player/player/#!/1626145;
2/20/2016 10:04:18 AM;Damjan Rudez;Rudez scored three points with two assists in six minutes in Friday's loss to Memphis.;http://stats.nba.com/player/player/#!/204014;
2/20/2016 7:58:15 AM;Kevin Martin;Martin (wrist) put up 12 points (3-5 FG, 2-3 3Pt, 4-4 FT), two rebounds, and one assist in 13 minutes during the Timberwolves' 109-104 loss to the Grizzlies on Friday.;http://stats.nba.com/player/player/#!/2755;
2/20/2016 7:33:15 AM;Gorgui Dieng;Dieng had 14 points (4-9 FG, 0-1 3Pt, 6-6 FT), 12 rebounds, three steals, one assist, and one block in 44 minutes during the Timberwolves' 109-104 loss to the Grizzlies on Friday.;http://stats.nba.com/player/player/#!/203476;
2/20/2016 7:33:15 AM;Zach LaVine;LaVine compiled 22 points (8-13 FG, 4-6 3Pt, 2-2 FT), two rebounds, and one steal in 26 minutes during the Timberwolves' 109-104 loss to the Grizzlies on Friday.;http://stats.nba.com/player/player/#!/203897;
2/19/2016 8:18:19 PM;Zach LaVine;LaVine is in the starting lineup Friday against Memphis, Jerry Zgoda of the Star Tribune reports.;http://stats.nba.com/player/player/#!/203897;
2/19/2016 7:03:13 PM;Nikola Pekovic;Pekovic (foot) has been ruled out for Friday's game against Memphis.;http://stats.nba.com/player/player/#!/201593;
2/19/2016 7:03:13 PM;Kevin Garnett;Garnett (knee) has been ruled out for Friday's game against Memphis.;http://stats.nba.com/player/player/#!/708;
2/19/2016 6:13:20 PM;Kevin Martin;Martin (wrist) is available to play Friday against Memphis.;http://stats.nba.com/player/player/#!/2755;
2/19/2016 2:28:15 PM;Kevin Martin;Martin (wrist) has been upgraded to probable for Friday's game against the Grizzlies.;http://stats.nba.com/player/player/#!/2755;
2/19/2016 9:53:08 AM;Adreian Payne;Payne has played in three of the Timberwolves' five games since his Feb. 1 promotion from the D-league's Erie BayHawks and is averaging two points and two rebounds over 8.7 minutes.;http://stats.nba.com/player/player/#!/203940;
2/18/2016 3:33:19 PM;Kevin Garnett;Garnett (knee) is considered doubtful to play Friday against the Grizzlies.;http://stats.nba.com/player/player/#!/708;
2/18/2016 3:33:19 PM;Nikola Pekovic;Pekovic (foot) is doubtful for Friday's matchup with Grizzlies.;http://stats.nba.com/player/player/#!/201593;
2/18/2016 3:08:20 PM;Nemanja Bjelica;Bjelica (foot) will not play Friday against Memphis.;http://stats.nba.com/player/player/#!/202357;
2/18/2016 3:08:20 PM;Kevin Martin;Martin (wrist) is considered doubtful to play Friday against Memphis.;http://stats.nba.com/player/player/#!/2755;
2/18/2016 12:13:21 PM;Zach LaVine;Coach Sam Mitchell said that he'd rotate LaVine and Tayshaun Prince as starters through the remainder of the season, Darren Wolfson of KSTP-TV reports.;http://stats.nba.com/player/player/#!/203897;
2/18/2016 12:08:13 AM;Nemanja Bjelica;Bjelica hurt his right foot while working out during the All Star break and was on crutches Wednesday, the Minneapolis Star Tribune reports.;http://stats.nba.com/player/player/#!/202357;
2/18/2016 12:08:13 AM;Kevin Garnett;Garnett (knee) did not practice Wednesday, the Minneapolis Star Tribune reports.;http://stats.nba.com/player/player/#!/708;
2/18/2016 12:08:13 AM;Nikola Pekovic;Pekovic (foot) did not practice Wednesday, the Minneapolis Star Tribune reports.;http://stats.nba.com/player/player/#!/201593;
2/17/2016 8:23:13 PM;Kevin Martin;Martin (wrist) returned to practice Wednesday for the Timberwolves.;http://stats.nba.com/player/player/#!/2755;
2/15/2016 3:28:30 PM;Andre Miller;Miller is averaging 10.8 minutes across 26 games this season.;http://stats.nba.com/player/player/#!/1889;
2/15/2016 3:28:30 PM;Tyus Jones;Jones has played in only one of the Wolves' last 19 games.;http://stats.nba.com/player/player/#!/1626145;
2/14/2016 12:43:22 AM;Zach LaVine;LaVine successfully defended his All-Star Slam Dunk title Saturday, outlasting Aaron Gordon in the final round after two tie-breakers.;http://stats.nba.com/player/player/#!/203897;
2/14/2016 12:18:24 AM;Karl-Anthony Towns;Towns won the All-Star Skills Competition on Saturday, defeating Isaiah Thomas in the final round.;http://stats.nba.com/player/player/#!/1626157;
2/13/2016 1:28:20 PM;Andrew Wiggins;Wiggins tallied 29 points (13-15 FG), five assists, and two rebounds for the World squad in their 157-154 loss to the United States team in Friday's Rising Stars Challenge.;http://stats.nba.com/player/player/#!/203952;
2/13/2016 1:03:22 PM;Zach LaVine;LaVine took home MVP honors in Friday's Rising Stars Challenge in Toronto, scoring 30 points to go with seven rebounds and four assists while leading the United States team to a 157-154 victory over the World squad.;http://stats.nba.com/player/player/#!/203897;
2/11/2016 4:53:17 PM;Nemanja Bjelica;Bjelica did not score but had two rebounds in 12 minutes in Wednesday's win over Toronto.;http://stats.nba.com/player/player/#!/202357;
2/11/2016 2:48:24 PM;Damjan Rudez;Rudez did not play in Wednesday's win over Toronto due to a coach's decision.;http://stats.nba.com/player/player/#!/204014;
2/11/2016 4:48:36 AM;Ricky Rubio;Rubio recorded 19 points (5-9 FG, 3-6 3Pt, 6-6 FT), eight rebounds, eight assists, and one steal in 37 minutes during the Timberwolves' 117-112 victory versus the Raptors on Wednesday.;http://stats.nba.com/player/player/#!/201937;
2/11/2016 4:48:36 AM;Zach LaVine;LaVine totaled 13 points (4-13 FG, 1-4 3Pt, 4-6 FT), five assists, four rebounds, and one block in 38 minutes during the Timberwolves' 117-112 win over the Raptors on Wednesday.;http://stats.nba.com/player/player/#!/203897;
2/11/2016 4:23:42 AM;Karl-Anthony Towns;Towns totaled 35 points (12-19 FG, 11-13 FT), 11 rebounds, three blocks, and one assist in 35 minutes during the Timberwolves' 117-112 win over the Raptors on Wednesday.;http://stats.nba.com/player/player/#!/1626157;
2/11/2016 4:23:42 AM;Andrew Wiggins;Wiggins went off for 26 points (8-18 FG, 0-2 3Pt, 10-13 FT), three rebounds, two steals, and one block in 37 minutes during the Timberwolves' 117-112 win over the Raptors on Wednesday.;http://stats.nba.com/player/player/#!/203952;
2/11/2016 4:23:42 AM;Gorgui Dieng;Dieng dropped 14 points (4-7 FG, 6-9 FT), 10 rebounds, six assists, two steals, and one block in 41 minutes during the Timberwolves' 117-112 win against the Raptors on Wednesday.;http://stats.nba.com/player/player/#!/203476;
2/10/2016 7:38:17 PM;Kevin Martin;Martin (wrist) won't suit up Wednesday versus the Raptors.;http://stats.nba.com/player/player/#!/2755;
2/10/2016 6:48:20 PM;Zach LaVine;LaVine will start in Wednesday's game against the Raptors, Andy Greder of Pioneer Press reports.;http://stats.nba.com/player/player/#!/203897;
2/10/2016 2:13:19 PM;Nikola Pekovic;Pekovic (foot) will not play Wednesday against the Raptors.;http://stats.nba.com/player/player/#!/201593;
2/10/2016 2:13:19 PM;Kevin Garnett;Garnett will not play Wednesday against the Raptors.;http://stats.nba.com/player/player/#!/708;
2/10/2016 1:48:19 PM;Kevin Martin;Martin (wrist) is considered doubtful to play Wednesday against the Raptors.;http://stats.nba.com/player/player/#!/2755;
2/10/2016 1:23:23 PM;Tayshaun Prince;Prince (personal) will not play Wednesday against the Raptors.;http://stats.nba.com/player/player/#!/2419;
2/9/2016 1:08:29 AM;Gorgui Dieng;Dieng had a double-double with 12 points (5-10 FG, 1-3 FT, 1-2 3Pt) and 12 rebounds in addition to four assists and one block in 31 minutes of action during Monday's loss to New Orleans.;http://stats.nba.com/player/player/#!/203476;
2/9/2016 1:08:29 AM;Shabazz Muhammad;Muhammad scored 14 points (4-13 FG, 6-7 FT, 0-2 3Pt) while grabbing nine rebounds and adding an assist in 25 minutes off the bench in Monday's loss to the Pelicans.;http://stats.nba.com/player/player/#!/203498;
