time;player;headline;playerlink;
2/22/2016 5:03:20 PM;Omer Asik;Asik (ankle) is doubtful for Tuesday's game against the Wizards.;http://stats.nba.com/player/player/#!/201600;
2/21/2016 9:28:17 PM;Omer Asik;Asik (ankle) is set to undergo further tests Monday, the Associated Press reports.;http://stats.nba.com/player/player/#!/201600;
2/21/2016 7:48:22 PM;Ryan Anderson;Anderson scored just six points (1-12 FG, 4-4 FT, 0-6 3Pt) to go with three rebounds and a steal in 25 minutes of action Sunday against the Pistons.;http://stats.nba.com/player/player/#!/201583;
2/21/2016 7:23:27 PM;Anthony Davis;Davis scored a career-high 59 points (24-34 FG, 9-10 FT, 2-2 3Pt) to go along with 20 rebounds, four assists and a block in 43 minutes Sunday against the Pistons.;http://stats.nba.com/player/player/#!/203076;
2/21/2016 7:23:23 PM;Jrue Holiday;Holiday scored 20 points (6-14 FG, 8-9 FT, 0-4 3Pt) while dishing out nine assists and grabbing seven rebounds in 32 minutes off the bench Sunday versus the Pistons.;http://stats.nba.com/player/player/#!/201950;
2/21/2016 4:28:27 PM;Omer Asik;Asik is doubtful to return to Sunday's game against the Pistons because of a right ankle injury.;http://stats.nba.com/player/player/#!/201600;
2/21/2016 2:23:15 PM;Bryce Dejean-Jones;Dejean-Jones (wrist) will play Sunday against Detroit, John Reid of the New Orleans Times-Picayune reports.;http://stats.nba.com/player/player/#!/1626214;
2/20/2016 3:03:15 PM;Bryce Dejean-Jones;Dejean-Jones (wrist) is expected to play in Sunday's game against the Pistons, John Reid of the Times-Picayune reports.;http://stats.nba.com/player/player/#!/1626214;
2/20/2016 9:38:13 AM;Anthony Davis;Davis scored 34 points (9-22 FG, 16-20 FT) while adding seven rebounds, two steals and two blocks in 38 minutes during Friday's win over the 76ers.;http://stats.nba.com/player/player/#!/203076;
2/20/2016 9:38:13 AM;Ryan Anderson;Anderson scored 26 points (9-15 FG, 4-6 3Pt, 4-4 FT) while adding four rebounds, an assist and a steal in 28 minutes off the bench during Friday's win over the 76ers.;http://stats.nba.com/player/player/#!/201583;
2/20/2016 9:38:13 AM;Jrue Holiday;Holiday scored 24 points (8-17 FG, 1-4 3Pt, 7-8 FT) while adding 12 assists, four steals and three rebounds in 33 minutes off the bench during Friday's win over the 76ers.;http://stats.nba.com/player/player/#!/201950;
2/19/2016 11:13:12 PM;Bryce Dejean-Jones;Dejean-Jones suffered a wrist injury during Friday's win over Philadelphia and did not return.;http://stats.nba.com/player/player/#!/1626214;
2/19/2016 8:43:19 PM;Bryce Dejean-Jones;Dejean-Jones is in the starting lineup for Friday, John Reid of NOLA.com reports.;http://stats.nba.com/player/player/#!/1626214;
2/19/2016 11:08:18 AM;Bryce Dejean-Jones;Dejean-Jones officially re-signed with the Pelicans on Friday.;http://stats.nba.com/player/player/#!/1626214;
2/18/2016 9:48:10 PM;Bryce Dejean-Jones;Dejean-Jones is expected to sign a three-year, partially guaranteed deal with the Pelicans, Shams Charania of Yahoo.com reports.;http://stats.nba.com/player/player/#!/1626214;
