time;player;headline;playerlink;
2/22/2016 3:48:21 PM;Andre Roberson;Roberson (knee) didn't end up seeing the court in Sunday's 115-92 loss to the Cavaliers, but is expected to return to action at some point of the Thunder's two-game road trip that begins Wednesday against the Mavericks, Anthony Slater of The Oklahoman rep;http://stats.nba.com/player/player/#!/203460;
2/21/2016 9:03:18 PM;Russell Westbrook;Westbrook nearly notched a triple-double, with 20 points (7-15 FG, 5-6 FT, 1-3 3Pt), 11 assists, nine rebounds and one steal across 33 minutes in Sunday's loss to the Cavs.;http://stats.nba.com/player/player/#!/201566;
2/21/2016 9:03:16 PM;Kevin Durant;Durant led the Thunder with 26 points (10-21 FG, 2-3 Ft, 4-8 3Pt) to go along with five rebounds, three assists and three blocks in 33 minutes during Sunday's loss to the Cavs.;http://stats.nba.com/player/player/#!/201142;
2/21/2016 3:13:23 PM;Andre Roberson;Roberson (knee) is active for Sunday's game against Cleveland, Erik Horne of The Oklahoman reports.;http://stats.nba.com/player/player/#!/203460;
2/21/2016 2:48:19 PM;Mitch McGary;McGary was recalled by the Thunder on Sunday and is in uniform ahead of tip-off against the Cavaliers, Erik Horne of The Oklahoman reports.;http://stats.nba.com/player/player/#!/203956;
2/20/2016 10:28:20 AM;Russell Westbrook;Westbrook scored 23 points (10-17 FG, 1-4 3Pt, 2-2 FT) while adding a career-high 18 assists, three rebounds, two steals and a block in 37 minutes during Friday's loss to the Pacers.;http://stats.nba.com/player/player/#!/201566;
2/20/2016 10:28:19 AM;Enes Kanter;Kanter scored 13 points (5-15 FG, 1-1 3Pt, 2-2 FT) while adding 10 rebounds in 20 minutes off the bench during Friday's loss to the Pacers.;http://stats.nba.com/player/player/#!/202683;
2/20/2016 10:04:19 AM;Serge Ibaka;Ibaka scored 12 points (6-13 FG, 0-2 3Pt, 0-1 FT) while adding 11 rebounds in 35 minutes during Friday's loss to the Pacers.;http://stats.nba.com/player/player/#!/201586;
2/20/2016 10:04:18 AM;Kevin Durant;Durant scored 31 points (13-26 FG, 2-9 3Pt, 3-3 Ft) while adding eight rebounds, three assists and a block in 38 minutes during Friday's loss to the Pacers.;http://stats.nba.com/player/player/#!/201142;
2/19/2016 6:38:14 PM;Randy Foye;Foye is available for Friday night against the Pacers, Anthony Slater of The Oklahoman reports.;http://stats.nba.com/player/player/#!/200751;
2/19/2016 11:58:22 AM;Randy Foye;Foye is expected to be available Friday against the Pacers, Anthony Slater of The Oklahoman reports.;http://stats.nba.com/player/player/#!/200751;
2/19/2016 11:33:11 AM;Mitch McGary;McGary was assigned to the D-League on Friday, Erik Horne of The Oklahoman reports.;http://stats.nba.com/player/player/#!/203956;
2/18/2016 1:53:18 PM;Randy Foye;Foye was traded from Denver to the Thunder on Thursday in exchange for D.J. Augustin, Steve Novak, and two second-round picks, Ken Berger of CBS Sports reports.;http://stats.nba.com/player/player/#!/200751;
2/18/2016 12:38:18 PM;Andre Roberson;Roberson (knee) has yet to be cleared for contact, Erik Horne of The Oklahoman reports. "He's progressing," coach Billy Donovan said. "How far he is from playing, I'm not really sure, but I know he's getting a lot better and they keep adding more and more;http://stats.nba.com/player/player/#!/203460;
