time;player;headline;playerlink;
2/22/2016 11:38:16 AM;Dewayne Dedmon;Dedmon (coach's decision) didn't appear in Sunday's game against the Pacers.;http://stats.nba.com/player/player/#!/203473;
2/22/2016 12:48:16 AM;Elfrid Payton;Payton had four points (1-5 FG, 0-1 3Pt, 2-2 FT), four assists, two rebounds, and two steals in 23 minutes during the Magic's 105-102 loss to the Pacers on Sunday.;http://stats.nba.com/player/player/#!/203901;
2/22/2016 12:48:15 AM;Mario Hezonja;Hezonja missed both of his field-goal attempts (0-2 3Pt) and swiped one steal in nine minutes during the Magic's 105-102 loss to the Pacers on Sunday.;http://stats.nba.com/player/player/#!/1626209;
2/22/2016 12:23:14 AM;Evan Fournier;Fournier scored 23 points (8-14 FG, 3-6 3Pt, 4-5 FT) to go with two assists, one rebound, and one steal in 34 minutes during the Magic's 105-102 loss to the Pacers on Sunday.;http://stats.nba.com/player/player/#!/203095;
2/20/2016 4:13:16 AM;Jason Smith;Smith (back) scored 11 points (5-10 FG, 1-1 3Pt) and added three rebounds and one block in 18 minutes during the Magic's 110-104 overtime win against the Mavericks on Friday.;http://stats.nba.com/player/player/#!/201160;
2/20/2016 3:48:15 AM;Nikola Vucevic;Vucevic posted 21 points (8-20 FG, 5-5 FT), 12 rebounds, three assists, two blocks, and one steal in 35 minutes during the Magic's 110-104 overtime victory versus the Mavericks on Friday.;http://stats.nba.com/player/player/#!/202696;
2/20/2016 3:48:15 AM;Victor Oladipo;Oladipo offered 17 points (6-18 FG, 3-9 3Pt, 2-2 FT), 14 rebounds, three assists, and two steals in 42 minutes during the Magic's 110-104 win against the Mavericks on Friday.;http://stats.nba.com/player/player/#!/203506;
2/20/2016 3:48:15 AM;Evan Fournier;Fournier recorded nine points (4-11 FG, 1-5 3Pt), eight assists, and six rebounds in 42 minutes during the Magic's 110-104 overtime win versus the Mavericks on Friday.;http://stats.nba.com/player/player/#!/203095;
2/20/2016 3:23:27 AM;Aaron Gordon;Gordon recorded seven points (3-8 FG, 1-2 3Pt), 11 rebounds, six steals, and one assist in 28 minutes during the Magic's 110-104 overtime win versus the Mavericks on Friday.;http://stats.nba.com/player/player/#!/203932;
2/20/2016 3:23:27 AM;Ersan Ilyasova;Ilyasova had 16 points (5-11 FG, 2-4 3Pt, 4-6 FT), five rebounds, two assists, and one steal in 23 minutes during the Magic's 110-104 overtime win versus the Mavericks on Friday.;http://stats.nba.com/player/player/#!/101141;
2/20/2016 3:23:27 AM;Brandon Jennings;Jennings managed 18 points (5-12 FG, 4-9 3Pt, 4-4 FT), four assists, and three rebounds in 25 minutes during the Magic's 110-104 overtime win against the Mavericks on Friday.;http://stats.nba.com/player/player/#!/201943;
2/19/2016 11:38:14 PM;C.J. Watson;Watson (calf) played eight minutes off the bench Friday and recorded one rebound.;http://stats.nba.com/player/player/#!/201228;
2/19/2016 6:13:21 PM;Jared Cunningham;Cunningham is inactive for Friday's matchup with the Mavericks.;http://stats.nba.com/player/player/#!/203099;
2/19/2016 5:48:15 PM;Dewayne Dedmon;Dedmon will miss Friday's game against the Mavericks due to illness, Josh Robbins of the Orlando Sentinel reports.;http://stats.nba.com/player/player/#!/203473;
2/19/2016 1:13:15 PM;Brandon Jennings;Jennings will come off the bench Friday against the Mavericks, the Orlando Sentinel reports.;http://stats.nba.com/player/player/#!/201943;
2/19/2016 1:13:15 PM;Ersan Ilyasova;Ilyasova will come off the bench in his Magic debut Friday against the Mavericks, Josh Robbins of the Orlando Sentinel reports.;http://stats.nba.com/player/player/#!/101141;
2/19/2016 12:23:26 PM;Jason Smith;Smith (back) will be available for Friday's game against the Mavericks, Josh Robbins of the Orlando Sentinel reports.;http://stats.nba.com/player/player/#!/201160;
2/18/2016 1:28:17 PM;Jared Cunningham;Cunningham has been traded to the Magic as part of the Channing Frye deal, Sam Amick of USA Today reports.;http://stats.nba.com/player/player/#!/203099;
2/17/2016 5:03:13 PM;Ersan Ilyasova;Ilyasova will take part in practice with the Magic on Thursday, Magic radio host Josh Styles reports.;http://stats.nba.com/player/player/#!/101141;
2/17/2016 5:03:12 PM;Evan Fournier;Fournier will continue starting at small forward for at least the next few games, Josh Robbins of the Orlando Sentinel reports.;http://stats.nba.com/player/player/#!/203095;
2/17/2016 4:38:12 PM;C.J. Watson;Watson (calf) practiced in full Wednesday and went through 5-on-5 drills, Josh Robbins of the Orlando Sentinel reports.;http://stats.nba.com/player/player/#!/201228;
2/17/2016 4:38:12 PM;Brandon Jennings;Jennings will take part in practice Thursday, Magic radio host Josh Styles reports.;http://stats.nba.com/player/player/#!/201943;
2/16/2016 3:13:23 PM;Brandon Jennings;Jennings has been traded to the Magic along with Ersan Ilyasova in exchange for Tobias Harris, Sam Amico of Fox Sports Ohio reports.;http://stats.nba.com/player/player/#!/201943;
2/16/2016 3:13:23 PM;Ersan Ilyasova;Ilyasova (illness) has been traded to the Magic with Brandon Jennings in exchange for Tobias Harris, Sam Amico of Fox Sports Ohio reports.;http://stats.nba.com/player/player/#!/101141;
2/15/2016 4:18:26 PM;Andrew Nicholson;Nicholson has seen a reduced role of late, seeing double-digit minutes in just one of the last 16 games.;http://stats.nba.com/player/player/#!/203094;
2/15/2016 3:53:27 PM;Shabazz Napier;Napier is averaging only 1.4 points and 2.0 assists per game through five February contests.;http://stats.nba.com/player/player/#!/203894;
2/14/2016 12:43:22 AM;Aaron Gordon;Gordon took defending champion Zach LaVine to a second tie-breaker before eventually bowing out in Saturday's All-Star Slam Dunk competition.;http://stats.nba.com/player/player/#!/203932;
2/11/2016 8:58:11 AM;Nikola Vucevic;Vucevic scored 20 points (9-22 FG, 2-2 FT) to go with 13 rebounds, five assists, two blocks, and a steal over 37 minutes in a 98-96 loss to the Spurs on Wednesday.;http://stats.nba.com/player/player/#!/202696;
2/11/2016 8:33:09 AM;Evan Fournier;Fournier scored 28 points (10-20 FG, 3-5 3Pt, 5-5 FT) to go with five assists and two rebounds over 42 minutes in a 98-96 loss to the Spurs on Wednesday.;http://stats.nba.com/player/player/#!/203095;
2/10/2016 5:58:17 PM;Evan Fournier;Fournier is expected to make another start at small forward in Wednesday's game against the Spurs in place of Tobias Harris (ankle), John Denton of OrlandoMagic.com reports.;http://stats.nba.com/player/player/#!/203095;
2/10/2016 5:58:17 PM;Jason Smith;Smith won't play Wednesday against the Spurs due to back spasms, Josh Robbins of the Orlando Sentinel reports.;http://stats.nba.com/player/player/#!/201160;
2/10/2016 5:58:17 PM;C.J. Watson;Watson (calf) won't play in Wednesday's game against the Spurs.;http://stats.nba.com/player/player/#!/201228;
