time;player;headline;playerlink;
2/22/2016 11:13:18 AM;Isaiah Canaan;Canaan scored 15 points (6-12 FG, 3-8 3Pt) while adding a rebound and an assist in 27 minutes off the bench during Sunday's loss to the Mavericks.;http://stats.nba.com/player/player/#!/203477;
2/22/2016 9:58:27 AM;Jerami Grant;Grant (eye) tallied four points (0-2 FG, 4-6 FT), five rebounds, one assist, one steal, and one block across 29 minutes in Sunday's 129-103 loss to the Mavericks.;http://stats.nba.com/player/player/#!/203924;
2/22/2016 9:58:24 AM;Jahlil Okafor;Okafor amassed a career-high 31 points (12-19 FG, 0-1 3Pt, 7-10 FT), eight rebounds, one assist, one steal, and one block across 32 minutes in Sunday's 129-103 loss to the Mavericks.;http://stats.nba.com/player/player/#!/1626143;
2/21/2016 6:08:25 PM;Nik Stauskas;Stauskas will be on a 20-to-24 minute restriction Sunday versus the Mavericks, as he's dealing with a sore shin, Keith Pompey of the Philly Inquirer reports.;http://stats.nba.com/player/player/#!/203917;
2/21/2016 1:08:21 PM;Jerami Grant;Grant (eye) will play Sunday against the Mavericks, Keith Pompey of the Philadelphia Inquirer reports.;http://stats.nba.com/player/player/#!/203924;
2/20/2016 3:03:15 PM;Jerami Grant;Grant (eye) sat out of practice Saturday, but is still listed as probable heading into Sunday's game against the Mavericks, Jessica Camerato of CSN Philly reports.;http://stats.nba.com/player/player/#!/203924;
2/20/2016 9:38:15 AM;Nerlens Noel;Noel (knee) scored a season-high 24 points (10-15 FG, 4-5 FT) while adding nine rebounds, four assists, two steals and a block in 36 minutes during Friday's loss to the Pelicans.;http://stats.nba.com/player/player/#!/203457;
2/20/2016 9:38:14 AM;Ish Smith;Smith scored 12 points (5-9 FG, 0-3 3Pt, 2-4 FT) while adding seven assists, four steals and three rebounds in 31 minutes during Friday's loss to the Pelicans.;http://stats.nba.com/player/player/#!/202397;
2/19/2016 11:38:13 PM;Jerami Grant;Grant suffered a right eye injury during Friday's contest but he will be available for Sunday's matchup with the Mavericks, Jessica Camerato of CSN Philadelphia reports.;http://stats.nba.com/player/player/#!/203924;
2/19/2016 1:13:15 PM;Joel Embiid;Embiid (foot) is unlikely to be ready to play in summer league, Tom Moore of Calkins Media reports.;http://stats.nba.com/player/player/#!/203954;
2/18/2016 6:53:11 PM;JaKarr Sampson;Sampson was cut by Philadelphia on Thursday, Marc J. Spears of Yahoo.com reports.;http://stats.nba.com/player/player/#!/203960;
2/18/2016 5:13:15 PM;JaKarr Sampson;Sampson has only logged 11 minutes in February after averaging 15 minutes a game the rest of the season.;http://stats.nba.com/player/player/#!/203960;
2/18/2016 4:23:14 PM;Joel Anthony;Anthony was traded to the 76ers on Thursday as part of a three-team trade, Marc J. Spears of Yahoo! Sports reports. The Rockets will acquire the rights to forward Chukwudiebere Maduabum, while the Nuggets will receive a 2017 second-round pick.;http://stats.nba.com/player/player/#!/201202;
