time;player;headline;playerlink;
2/23/2016 2:14:31 AM;Archie Goodwin;Goodwin posted 20 points (6-19 FG, 1-6 3Pt, 7-8 FT), one rebound, and one steal in 38 minutes during the Suns' 124-84 loss to the Clippers on Monday.;http://stats.nba.com/player/player/#!/203462;
2/23/2016 2:14:30 AM;Devin Booker;Booker had five points (2-10 FG, 1-3 3Pt), two assists, and one rebound across 26 minutes during the Suns' 124-84 loss to the Clippers on Monday.;http://stats.nba.com/player/player/#!/1626164;
2/23/2016 2:14:28 AM;P.J. Tucker;Tucker totaled two points (1-3 FG, 0-1 3Pt), five rebounds, and one assist in 21 minutes during the Suns' 124-84 loss against the Clippers on Monday.;http://stats.nba.com/player/player/#!/200782;
2/22/2016 8:48:21 PM;Tyson Chandler;Chandler (shoulder) will not play Monday versus the Clippers.;http://stats.nba.com/player/player/#!/2199;
2/22/2016 3:23:23 PM;Tyson Chandler;Chandler (shoulder) is considered doubtful for Monday's game against the Clippers, Paul Coro of the Arizona Republic reports.;http://stats.nba.com/player/player/#!/2199;
2/22/2016 2:08:22 PM;Jon Leuer;Leuer moved back to the bench and tallied 13 points (5-7 FG, 1-1 3Pt, 2-2 FT), seven rebounds, two assists, one steal, and one block across 18 minutes in Sunday's 118-111 loss to the Spurs.;http://stats.nba.com/player/player/#!/202720;
2/21/2016 10:43:17 PM;Archie Goodwin;Goodwin posted 14 points (5-14 FG, 1-4 3Pt, 3-4 FT), seven rebounds, and one assist in 24 minutes during the Suns' 118-111 loss to the Spurs on Sunday.;http://stats.nba.com/player/player/#!/203462;
2/21/2016 10:43:16 PM;Phil Pressey;Pressey scored six points (2-6 FG, 0-2 3Pt, 2-5 FT) and added five assists, three blocks, two rebounds, and one steal in 28 minutes during the Suns' 118-111 loss to the Spurs on Sunday.;http://stats.nba.com/player/player/#!/203515;
2/21/2016 10:18:16 PM;Alex Len;Len (ankle) totaled 23 points (9-15 FG, 5-5 FT) and 13 rebounds in 24 minutes during the Suns' 118-111 loss to the Spurs on Sunday.;http://stats.nba.com/player/player/#!/203458;
2/21/2016 10:18:14 PM;Ronnie Price;Price scored 11 points (5-8 FG, 1-1 3Pt) and added three assists, one rebound, and one block in 20 minutes during the Suns' 118-111 loss to the Spurs on Sunday.;http://stats.nba.com/player/player/#!/101179;
2/21/2016 9:53:16 PM;Kris Humphries;Humphries had seven points (3-7 FG, 1-3 3Pt), four assists, three rebounds, and one steal in 24 minutes during the Suns' 118-111 loss to the Spurs on Sunday.;http://stats.nba.com/player/player/#!/2743;
2/21/2016 5:43:17 PM;Archie Goodwin;Goodwin will come off the bench in Sunday's game against the Spurs, Radio broadcaster Craig Gialou reports.;http://stats.nba.com/player/player/#!/203462;
2/21/2016 5:18:22 PM;Ronnie Price;Price was a late addition to the starting lineup Sunday versus the Spurs, Paul Coro of Arizona Republic reports.;http://stats.nba.com/player/player/#!/101179;
2/21/2016 4:53:19 PM;Kris Humphries;Humphries is expected to start in Sunday's game against the Spurs, Paul Coro of Arizona Republic reports.;http://stats.nba.com/player/player/#!/2743;
2/21/2016 4:53:17 PM;Alex Len;Len is in the starting lineup for Sunday's game against the Spurs, Paul Coro of Arizona Republic reports.;http://stats.nba.com/player/player/#!/203458;
2/21/2016 4:28:25 PM;Tyson Chandler;Chandler (shoulder) has been ruled out of Sunday's game against the Spurs, Paul Coro of Arizona Republic reports.;http://stats.nba.com/player/player/#!/2199;
2/21/2016 4:03:16 PM;Alex Len;Len (ankle) is expected to play in Sunday's game against the Spurs, Paul Coro of the Arizona Republic reports.;http://stats.nba.com/player/player/#!/203458;
