time;player;headline;playerlink;
2/22/2016 12:28:15 PM;Damian Lillard;Lillard scored 30 points (10-21 FG, 4-12 3Pt, 6-9 FT) while adding five assists and four rebounds in 37 minutes during Sunday's win over the Jazz.;http://stats.nba.com/player/player/#!/203081;
2/22/2016 12:28:15 PM;C.J. McCollum;McCollum scored 31 points (11-21 FG, 4-6 3Pt, 5-6 Ft) while adding three assists, two blocks and a steal in 37 minutes during Sunday's win over the Jazz.;http://stats.nba.com/player/player/#!/203468;
2/22/2016 12:03:17 PM;Meyers Leonard;Leonard was contained to three points (1-3 FG, 1-2 3Pt) and one block in seven minutes during Sunday's win versus the Jazz.;http://stats.nba.com/player/player/#!/203086;
2/22/2016 12:03:17 PM;Mason Plumlee;Plumlee posted nine points (3-8 FG, 3-6 FT), nine rebounds, six assists, two steals, and one block in 30 minutes during Sunday's victory against the Jazz.;http://stats.nba.com/player/player/#!/203486;
2/22/2016 11:38:16 AM;Maurice Harkless;Harkless put up 17 points (5-9 FG, 1-3 3Pt, 6-9 FT), seven rebounds, one assist, and one steal in 25 minutes in Sunday's win against the Jazz.;http://stats.nba.com/player/player/#!/203090;
2/20/2016 11:43:16 AM;C.J. McCollum;McCollum scored 21 points (9-18 FG, 3-4 3Pt) while adding seven assists, four rebounds and two steals in 32 minutes during Friday's win over the Warriors.;http://stats.nba.com/player/player/#!/203468;
2/20/2016 11:18:16 AM;Noah Vonleh;Vonleh (ankle) returned to action in Friday's shocking 137-105 win over the Warriors, providing nine points (3-6 FG, 1-2 3Pt, 2-2 FT) and four rebounds over 22 minutes.;http://stats.nba.com/player/player/#!/203943;
2/20/2016 11:18:16 AM;Damian Lillard;Lillard scored a career-high 51 points (18-28 FG, 9-12 3Pt, 6-7 FT) while adding seven assists and six steals in 31 minutes during Friday's 137-105 rout over the Warriors.;http://stats.nba.com/player/player/#!/203081;
2/19/2016 8:43:19 PM;Brian Roberts;Roberts will be available to play Friday against Golden State, Joe Freeman of The Oregonian reports.;http://stats.nba.com/player/player/#!/203148;
2/19/2016 1:13:15 PM;Cliff Alexander;Alexander has only played in seven games with the Trail Blazers this season.;http://stats.nba.com/player/player/#!/1626146;
2/19/2016 12:48:15 PM;Pat Connaughton;Connaughton has averaged 0.6 points, 0.7 rebounds, 0.1 assists, and 0.1 steals in three minutes per game in 21 games through the first half of the season.;http://stats.nba.com/player/player/#!/1626192;
2/18/2016 2:43:14 PM;Brian Roberts;Roberts was traded from Miami to Portland on Thursday along with a second-round pick, Adrian Wojnarowski of Yahoo! Sports reports.;http://stats.nba.com/player/player/#!/203148;
2/18/2016 1:28:16 PM;Anderson Varejao;Varejao was traded to the Trail Blazers on Thursday, Sam Amico of Fox Sports reports.;http://stats.nba.com/player/player/#!/2760;
2/18/2016 1:28:16 PM;Anderson Varejao;Varejao is expected to be waived by the Trail Blazers, Adrian Wojnarowski of Yahoo! Sports reports.;http://stats.nba.com/player/player/#!/2760;
2/15/2016 4:43:24 PM;Luis Montero;Montero has not appeared in a game in more than a month.;http://stats.nba.com/player/player/#!/1626242;
2/11/2016 5:43:37 PM;Mason Plumlee;Plumlee contributed eight points (3-4 FG, 2-2 FT), four rebounds, and a steal in 16 minutes in Wednesday's 116-103 win over the Rockets.;http://stats.nba.com/player/player/#!/203486;
2/11/2016 5:18:17 PM;Gerald Henderson;Henderson scored 13 points (3-10 FG, 0-3 3Pt, 7-10 FT), along with four rebounds, and a steal in 32 minutes in Wednesday's 116-103 win over the Rockets.;http://stats.nba.com/player/player/#!/201945;
2/11/2016 4:53:18 PM;Tim Frazier;Frazier played one minute and didn't accrue any statistics in Wednesday's 116-103 win over the Rockets.;http://stats.nba.com/player/player/#!/204025;
2/11/2016 4:53:18 PM;Al-Farouq Aminu;Aminu provided 11 points (4-9 FG, 1-3 3Pt, 2-2 FT), five assists, three rebounds, and one steal across 25 minutes in Wednesday's 116-103 win over the Rockets.;http://stats.nba.com/player/player/#!/202329;
2/11/2016 4:53:18 PM;Meyers Leonard;Leonard posted 14 points (6-9 FG, 0-1 3Pt, 2-2 FT), eight rebounds, and a block in 23 minutes in Wednesday's 116-103 win over the Rockets.;http://stats.nba.com/player/player/#!/203086;
2/11/2016 4:53:18 PM;Ed Davis;Davis was held to one point (0-1 FG, 1-2 FT), 13 rebounds, one assist, and one block across 21 minutes in Wednesday's win over the Rockets.;http://stats.nba.com/player/player/#!/202334;
2/11/2016 4:28:24 PM;C.J. McCollum;McCollum contributed 14 points (6-16 FG, 2-5 3Pt), two assists, one rebound, and one steal in 27 minutes during the Trail Blazers 116-103 win over the Rockets on Wednesday.;http://stats.nba.com/player/player/#!/203468;
2/11/2016 2:23:24 PM;Noah Vonleh;Vonleh (ankle) didn't end up seeing the court in Wednesday's win over the Rockets.;http://stats.nba.com/player/player/#!/203943;
2/11/2016 1:58:17 PM;Damian Lillard;Lillard supplied 31 points (9-22 FG, 4-11 3Pt, 9-11 FT), nine assists, three rebounds, and three steals across 35 minutes in Wednesday's 116-103 win over the Rockets.;http://stats.nba.com/player/player/#!/203081;
2/11/2016 1:58:16 PM;Maurice Harkless;Harkless went off for 19 points (8-11 FG, 1-2 3Pt, 2-4 FT), 13 rebounds, two steals, and one assist across 28 minutes in Wednesday's 116-103 win over the Rockets.;http://stats.nba.com/player/player/#!/203090;
2/10/2016 10:58:21 PM;Maurice Harkless;Harkless will remain in the starting lineup Wednesday against the Rockets despite Noah Vonleh's return, Joe Freeman of The Oregonian reports.;http://stats.nba.com/player/player/#!/203090;
2/10/2016 9:18:10 PM;Noah Vonleh;Vonleh (ankle) will be active for Wednesday's game against Houston, Portland Digital Reporter Casey Holdahl reports.;http://stats.nba.com/player/player/#!/203943;
2/9/2016 6:13:20 PM;Noah Vonleh;Vonleh (ankle) is considered probable for Wednesday's game against the Rockets, Erik Gundersen of The Columbian reports.;http://stats.nba.com/player/player/#!/203943;
2/9/2016 12:43:21 AM;Allen Crabbe;Crabbe (illness) contributed 13 points (6-8 FG, 0-1 3Pt, 1-1 FT), four rebounds, three steals, and one block in 21 minutes during the Trail Blazers' 112-106 overtime win versus the Grizzlies on Monday.;http://stats.nba.com/player/player/#!/203459;
2/9/2016 12:18:24 AM;Damian Lillard;Lillard recorded 33 points (9-22 FG, 5-13 3Pt, 10-12 FT), five assists, four rebounds, one steal, and one block in 43 minutes during the Trail Blazers' 112-106 overtime win against the Grizzlies on Monday.;http://stats.nba.com/player/player/#!/203081;
2/9/2016 12:18:24 AM;C.J. McCollum;McCollum managed 21 points (10-24 FG, 1-5 3Pt), six assists, three rebounds, three steals, and one block in 38 minutes during the Trail Blazers' 112-106 overtime victory versus the Grizzlies on Monday.;http://stats.nba.com/player/player/#!/203468;
