time;player;headline;playerlink;
2/21/2016 9:53:17 PM;Danny Green;Green recorded 11 points (4-5 FG, 1-2 3Pt, 2-4 FT), seven rebounds, two assists, two steals, and two blocks in 34 minutes during the Spurs' 118-111 victory versus the Suns on Sunday.;http://stats.nba.com/player/player/#!/201980;
2/21/2016 9:28:18 PM;Kyle Anderson;Anderson had five points (2-4 FG, 1-2 FT), three rebounds, two assists, and one steal in 29 minutes during the Spurs' 118-111 win versus the Suns on Sunday.;http://stats.nba.com/player/player/#!/203937;
2/21/2016 9:28:17 PM;LaMarcus Aldridge;Aldridge scored 19 points (9-14 FG, 0-1 3Pt, 1-1 FT) and added 10 rebounds, one assist, one steal, and one block in 34 minutes during the Spurs' 118-111 win against the Suns on Sunday.;http://stats.nba.com/player/player/#!/200746;
2/21/2016 9:28:17 PM;Patty Mills;Mills exploded for 21 points (6-13 FG, 6-9 3Pt, 3-4 FT), five assists, and three rebounds in 23 minutes during the Spurs' 118-111 win against the Suns on Sunday.;http://stats.nba.com/player/player/#!/201988;
2/21/2016 4:53:15 PM;Kyle Anderson;Anderson will start a third consecutive game Sunday against the Suns, Jeff McDonald of San Antonio Express-News reports.;http://stats.nba.com/player/player/#!/203937;
2/21/2016 4:28:26 PM;Kawhi Leonard;Leonard (calf) has been ruled out of Sunday's game against the Suns.;http://stats.nba.com/player/player/#!/202695;
2/20/2016 5:58:18 PM;Kawhi Leonard;Leonard (left calf tightness) is questionable for Sunday's game against the Suns.;http://stats.nba.com/player/player/#!/202695;
2/20/2016 5:58:18 PM;Matt Bonner;Bonner (left calf strain) remains out for Sunday's game against the Suns.;http://stats.nba.com/player/player/#!/2588;
2/20/2016 11:18:21 AM;LaMarcus Aldridge;Aldridge posted 16 points (6-11 FG, 4-4 FT), eight rebounds, three assists, two blocks and a steal over 35 minutes in Friday's 119-113 victory over the Lakers.;http://stats.nba.com/player/player/#!/200746;
2/20/2016 11:18:19 AM;Tim Duncan;Duncan registered 12 points (4-9 FG, 4-5 FT), 13 rebounds, an assist and three blocks over 28 minutes in Friday's 119-113 victory over the Lakers.;http://stats.nba.com/player/player/#!/1495;
2/20/2016 10:53:14 AM;Tony Parker;Parker tallied a team-high 25 points (9-16 FG, 7-7 FT), six assists, a rebound and a steal over 32 minutes in Friday's 119-113 victory over the Lakers.;http://stats.nba.com/player/player/#!/2225;
2/20/2016 10:53:13 AM;Kyle Anderson;Anderson produced 14 points (7-14 FG), three rebounds, three assists and two steals over 29 minutes in Friday's 119-113 victory over the Lakers.;http://stats.nba.com/player/player/#!/203937;
2/19/2016 9:58:13 PM;Kawhi Leonard;The MRI on Leonard's calf Friday revealed "nothing of concern," Jeff McDonald of the San Antonio Express-News reports.;http://stats.nba.com/player/player/#!/202695;
2/19/2016 2:28:15 PM;Kawhi Leonard;Leonard (calf) remains out for Friday's game against the Lakers.;http://stats.nba.com/player/player/#!/202695;
2/19/2016 2:28:14 PM;Matt Bonner;Bonner (calf) will not play against the Lakers on Friday.;http://stats.nba.com/player/player/#!/2588;
2/19/2016 11:33:11 AM;Tony Parker;Parker (ankle) tallied 14 points (6-13 FG, 1-3 3Pt, 1-2 FT), four assists, a rebound and a steal over 28 minutes in Thursday's 105-86 loss to the Clippers.;http://stats.nba.com/player/player/#!/2225;
2/19/2016 11:33:11 AM;LaMarcus Aldridge;Aldridge managed only 10 points (3-12 FG, 4-4 FT), three rebounds and an assist over 25 minutes in Thursday's 105-86 loss to the Clippers.;http://stats.nba.com/player/player/#!/200746;
2/19/2016 11:33:10 AM;Kyle Anderson;Anderson registered eight points (4-6 FG), three rebounds, an assist and a pair of steals over 28 minutes in Thursday's 105-86 loss to the Clippers.;http://stats.nba.com/player/player/#!/203937;
2/19/2016 11:33:10 AM;David West;West supplied 12 points (4-6 FG, 1-1 3Pt, 3-3 FT), four rebounds, four assists and a steal over 18 minutes in Thursday's 105-86 loss to the Clippers.;http://stats.nba.com/player/player/#!/2561;
2/18/2016 11:03:08 PM;Tony Parker;Parker (ankle) started Thursday against the Clippers after missing the Spurs' final game before the All-Star break last Wednesday.;http://stats.nba.com/player/player/#!/2225;
2/18/2016 10:13:09 PM;Kawhi Leonard;Leonard will not be playing in Thursday's game against the Clippers due to calf tightness, Jabari Young of the San Antonio Express-News reports.;http://stats.nba.com/player/player/#!/202695;
2/18/2016 10:13:09 PM;Kyle Anderson;Anderson is expected to start at small forward during Thursday's game against the Clippers, Jabari Young of San Antonio Express-News reports.;http://stats.nba.com/player/player/#!/203937;
2/17/2016 2:58:18 PM;Matt Bonner;Bonner (calf) has been ruled out for the Spurs game against the Clippers on Thursday.;http://stats.nba.com/player/player/#!/2588;
2/15/2016 1:23:25 PM;Ray McCallum;McCallum has appeared in five of the Spurs' six games in February, and is averaging 1.8 points, 1.4 rebounds, and 0.8 assists in 8.6 minutes.;http://stats.nba.com/player/player/#!/203492;
2/15/2016 1:23:25 PM;Boris Diaw;Diaw is averaging four points, 3.7 rebounds, and 2.5 steals over 18.3 minutes during six appearances for the Spurs in February.;http://stats.nba.com/player/player/#!/2564;
2/11/2016 9:48:08 AM;Patty Mills;Mills compiled 17 points (7-11 FG, 3-5 3Pt, 0-1 FT), seven assists, six rebounds, two steals, and one block across 31 minutes in Wednesday's 98-96 win over the Magic.;http://stats.nba.com/player/player/#!/201988;
2/11/2016 8:33:10 AM;Kawhi Leonard;Leonard scored 29 points (12-29 FG, 3-3 3Pt, 2-2 FT) to go with seven rebounds, two assists, two steals, and a block over 33 minutes in a 98-96 victory over the Magic on Wednesday.;http://stats.nba.com/player/player/#!/202695;
2/11/2016 8:33:10 AM;LaMarcus Aldridge;Aldridge scored 21 points (8-16 FG, 5-5 FT) to go with seven rebounds, two assists, and two blocks over 33 minutes in a 98-96 victory over the Magic on Wednesday.;http://stats.nba.com/player/player/#!/200746;
2/11/2016 8:33:09 AM;Tim Duncan;Duncan (knee) scored five points (2-9 FG, 1-1 FT) to go with seven rebounds, five assists, and three blocks over 18 minutes in a 98-96 victory over the Magic on Wednesday.;http://stats.nba.com/player/player/#!/1495;
2/10/2016 6:23:18 PM;Tony Parker;Parker (ankle) won't play Wednesday against the Magic, Steve Kyler of Basketball Insiders reports.;http://stats.nba.com/player/player/#!/2225;
2/10/2016 2:38:35 PM;Kyle Anderson;Anderson (illness) will return Wednesday against the Magic.;http://stats.nba.com/player/player/#!/203937;
2/10/2016 2:38:35 PM;Tim Duncan;Duncan (knee) will play Wednesday versus the Magic.;http://stats.nba.com/player/player/#!/1495;
2/10/2016 2:38:33 PM;Tony Parker;Parker (ankle) is considered questionable to play Wednesday against the Magic.;http://stats.nba.com/player/player/#!/2225;
2/10/2016 2:38:32 PM;Matt Bonner;Bonner (calf) remains out Wednesday versus the Magic.;http://stats.nba.com/player/player/#!/2588;
2/10/2016 1:23:23 PM;Rasual Butler;Butler played 11 minutes and provided two points (1-3 FG, 0-2 3Pt) and two assists in Monday's 119-101 win over the Heat.;http://stats.nba.com/player/player/#!/2446;
2/10/2016 12:58:20 PM;Jonathon Simmons;Simmons tallied 10 points (5-9 FG, 0-1 FT), four rebounds, and one assist over 23 minutes in Tuesday's 119-101 win over the Heat.;http://stats.nba.com/player/player/#!/203613;
2/10/2016 12:03:21 AM;Boban Marjanovic;Marjanovic had 11 points (3-5 FG, 5-7 FT), six rebounds and a steal in 13 minutes on Tuesday in a win against the Heat.;http://stats.nba.com/player/player/#!/1626246;
2/9/2016 11:38:34 PM;Danny Green;Green scored 15 points (6-10 FG, 2-4 3Pt, 1-2) to go along with seven rebounds, three assists, three steals and a block on Tuesday in a win against the Heat.;http://stats.nba.com/player/player/#!/201980;
2/9/2016 11:13:24 PM;Kawhi Leonard;Leonard scored 23 points (11-17 FG, 1-1 3Pt) to go along with nine rebounds, four assists, three steals and a block on Tuesday in a win against the Heat.;http://stats.nba.com/player/player/#!/202695;
