time;player;headline;playerlink;
2/22/2016 11:18:24 PM;Jonas Valanciunas;Valanciunas scored 20 points (9-14 FG, 2-2 FT) to go along with six rebounds and three blocks in just 25 minutes during Monday's win over the Knicks.;http://stats.nba.com/player/player/#!/202685;
2/22/2016 10:53:23 PM;Kyle Lowry;Lowry registered a triple-double with 22 points (7-13 FG, 6-6 FT, 2-4 3Pt), 11 rebounds and 11 assists in 35 minutes during Monday's easy win over the Knicks.;http://stats.nba.com/player/player/#!/200768;
2/22/2016 10:53:22 PM;Bismack Biyombo;Biyombo scored 10 points (4-4 FG, 2-5 FT) while grabbing nine rebounds and adding one assist and one block in just 19 minutes during Monday's win over the Knicks.;http://stats.nba.com/player/player/#!/202687;
2/22/2016 10:23:28 AM;DeMar DeRozan;DeRozan scored 21 points (6-16 FG, 9-10 FT) while adding five rebounds and three assists in 36 minutes during Sunday's win over the Grizzlies.;http://stats.nba.com/player/player/#!/201942;
2/22/2016 10:23:27 AM;Jonas Valanciunas;Valanciunas scored 10 points (4-7 FG, 2-2 FT) while adding 12 rebounds, a steal and a block in 31 minutes during Sunday's win over the Grizzlies.;http://stats.nba.com/player/player/#!/202685;
2/20/2016 12:28:19 AM;Jonas Valanciunas;Valanciunas scored 25 points (9-14 FG, 7-8 FT) while adding 12 rebounds and a block in 33 minutes during Friday's loss to the Bulls.;http://stats.nba.com/player/player/#!/202685;
2/20/2016 12:28:19 AM;Kyle Lowry;Lowry scored 27 points (9-18 FG, 2-7 3Pt, 7-8 FT) while adding eight assists, three rebounds, a steal and a block in 37 minutes during Friday's loss to the Bulls.;http://stats.nba.com/player/player/#!/200768;
2/20/2016 12:28:19 AM;DeMar DeRozan;DeRozan scored 22 points (6-21 FG, 1-3 3Pt, 9-10 FT) while adding four rebounds, three assists and two steals in 40 minutes during Friday's loss to the Bulls.;http://stats.nba.com/player/player/#!/201942;
2/19/2016 7:28:13 PM;Norman Powell;Powell will return to the bench for Friday's game against Chicago.;http://stats.nba.com/player/player/#!/1626181;
2/19/2016 7:28:13 PM;James Johnson;Johnson will start Friday night against the Bulls.;http://stats.nba.com/player/player/#!/201949;
2/19/2016 9:28:10 AM;DeMarre Carroll;Raptors GM Masai Ujiri reiterated Thursday that Carroll (knee) remains without a timetable for a return, Josh Lewenberg of TSN Radio 1050 AM reports.;http://stats.nba.com/player/player/#!/201960;
2/18/2016 5:38:21 PM;James Johnson;Johnson will play in Friday's game against the Bulls, Ryan Wolstat of the Toronto Suns reports.;http://stats.nba.com/player/player/#!/201949;
2/17/2016 7:58:10 PM;James Johnson;Johnson (ankle) returned to practice Thursday for the Raptors, Ryan Wolstat of the Toronto Sun reports.;http://stats.nba.com/player/player/#!/201949;
2/16/2016 8:13:18 PM;Anthony Bennett;Bennett has appeared in two games for Toronto throughout February and has averaged 2.0 points and 1.5 rebounds in 4.5 minutes per contest.;http://stats.nba.com/player/player/#!/203461;
2/16/2016 8:13:18 PM;Bruno Caboclo;Caboclo has appeared in just one game in February for the Raptors, and didn't record a statistic in his two total minutes.;http://stats.nba.com/player/player/#!/203998;
2/16/2016 7:48:22 PM;Delon Wright;Wright has made three appearances for Toronto thus far in the month of February, and has averaged 2.0 points, 0.3 rebounds and 0.3 steals across 3.3 minutes per contest.;http://stats.nba.com/player/player/#!/1626153;
2/16/2016 6:58:15 PM;Lucas Nogueira;Nogueira has appeared in three contests for the Raptors in February averaging 2.0 points, 1.0 rebounds, and 0.3 blocks across 6.7 minutes per game.;http://stats.nba.com/player/player/#!/203512;
2/16/2016 6:33:15 PM;Luis Scola;Scola has averaged 5.8 points, 2.6 rebounds and one assist over 19.4 minutes per game across five appearances in the month of February.;http://stats.nba.com/player/player/#!/2449;
2/16/2016 5:43:15 PM;Patrick Patterson;Patterson has played in each of Toronto's five February contests and has averaged 5.6 points and 3.6 rebounds across 27.2 minutes per game.;http://stats.nba.com/player/player/#!/202335;
2/15/2016 1:23:25 PM;DeMarre Carroll;Carroll (knee) was spotted taking jump shots prior to the Raptors' last game before the break Feb. 10 against the Timberwolves, Ryan Wolstat of the Toronto Sun reports.;http://stats.nba.com/player/player/#!/201960;
2/11/2016 11:03:15 AM;Norman Powell;Powell scored eight points (4-6 FG, 0-2 3Pt) while adding two rebounds in 12 minutes during Wednesday's loss to the Timberwolves.;http://stats.nba.com/player/player/#!/1626181;
2/11/2016 11:03:15 AM;Bismack Biyombo;Biyombo scored six points (2-2 FG, 2-2 FT) while adding six rebounds, six blocks and a steal in 20 minutes off the bench during Wednesday's loss to the Timberwolves.;http://stats.nba.com/player/player/#!/202687;
2/11/2016 4:48:36 AM;DeMar DeRozan;DeRozan had 35 points (11-19 FG, 3-3 3Pt, 10-13 FT), four assists, three rebounds, one steal, and one block in 37 minutes during the Raptors' 117-112 loss to the Timberwolves on Wednesday.;http://stats.nba.com/player/player/#!/201942;
2/10/2016 8:28:13 PM;James Johnson;Johnson (ankle) will not play Wednesday versus the Timberwolves, Jerry Zgoda of the Star Tribune reports.;http://stats.nba.com/player/player/#!/201949;
2/9/2016 9:53:20 AM;Cory Joseph;Joseph scored 15 points (7-9 FG, 1-2 3Pt) while adding four rebounds and three assists in 24 minutes off the bench during Monday's win over the Pistons.;http://stats.nba.com/player/player/#!/202709;
2/8/2016 11:03:20 PM;Jonas Valanciunas;Valanciunas scored 15 points (7-9 FG, 1-2 FT) to go along with eight rebounds, three assists, three steals and a block in just 25 minutes of Monday's win over the Pistons.;http://stats.nba.com/player/player/#!/202685;
