time;player;headline;playerlink;
2/22/2016 12:03:17 PM;Derrick Favors;Favors scored 22 points (9-16 FG, 4-4 FT) while adding eight rebounds and a block in 34 minutes during Sunday's loss to the Trail Blazers.;http://stats.nba.com/player/player/#!/202324;
2/22/2016 12:03:17 PM;Rodney Hood;Hood scored 18 points (8-16 FG, 2-5 3Pt) while adding three rebounds and two assists in 33 minutes during Sunday's loss to the Trail Blazers.;http://stats.nba.com/player/player/#!/203918;
2/22/2016 10:23:30 AM;Shelvin Mack;Mack put up a season-high 16 points (7-11 FG, 1-3 3Pt, 1-2 FT) to go with six assists, three rebounds, and one block in 24 minutes off the bench during Monday's 115-111 loss to the Trail Blazers.;http://stats.nba.com/player/player/#!/202714;
2/21/2016 9:03:17 PM;Shelvin Mack;Mack is available for Sunday's game in Portland.;http://stats.nba.com/player/player/#!/202714;
2/21/2016 3:38:15 PM;Shelvin Mack;Mack went through shootaround and is expected to be available to play in Sunday's game against the Trail Blazers, Aaron Falk of the Salt Lake Tribune reports.;http://stats.nba.com/player/player/#!/202714;
2/20/2016 10:53:16 AM;Rudy Gobert;Gobert recorded 11 points (4-5 FG, 3-8 FT), 15 rebounds, two assists and four blocks over 33 minutes in Friday's 111-93 victory over the Celtics.;http://stats.nba.com/player/player/#!/203497;
2/20/2016 10:28:19 AM;Derrick Favors;Favors tallied a team-high 23 points (9-14 FG, 5-5 FT), 10 rebounds, six assists and three blocks over 33 minutes in Friday's 111-93 victory over the Celtics.;http://stats.nba.com/player/player/#!/202324;
2/20/2016 10:28:19 AM;Gordon Hayward;Hayward pitched in with 22 points (6-16 FG, 1-6 3Pt, 9-15 FT), four assists and three rebounds over 36 minutes in Friday's 111-93 victory over the Celtics.;http://stats.nba.com/player/player/#!/202330;
2/20/2016 10:28:18 AM;Raul Neto;Neto pitched in a career-high 15 points (5-5 FG, 2-2 3Pt, 3-4 FT), four assists, three rebounds and two steals over 29 minutes in Friday's 111-93 victory over the Celtics.;http://stats.nba.com/player/player/#!/203526;
2/19/2016 9:08:13 PM;Shelvin Mack;Mack (coach's decision) will not play Friday against Boston, Jazz play-by-play announcer David Locke reports.;http://stats.nba.com/player/player/#!/202714;
2/19/2016 10:43:08 AM;Trey Burke;Burke (illness) provided two points (1-8 FG, 0-2 3Pt), seven assists, one rebound, and one steal across 22 minutes in Thursday's 103-89 loss to the Wizards.;http://stats.nba.com/player/player/#!/203504;
2/19/2016 10:43:08 AM;Chris Johnson;Johnson (toe) tallied four points (1-3 FG, 0-1 3Pt, 2-2 FT), three rebounds, and two steals across 19 minutes in Thursday's 103-89 loss to the Wizards.;http://stats.nba.com/player/player/#!/203187;
2/19/2016 12:43:08 AM;Gordon Hayward;Hayward had 19 points (7-15 FG, 1-3 3Pt, 4-4 FT), five rebounds, two steals, an assist and a block in 33 minutes on Thursday in a loss against the Wizards.;http://stats.nba.com/player/player/#!/202330;
2/19/2016 12:43:07 AM;Rudy Gobert;Gobert had 16 points (5-9 FG, 6-9 FT), 12 rebounds, two assists, a block and a steal in 30 minutes on Thursday in a loss against the Wizards.;http://stats.nba.com/player/player/#!/203497;
2/18/2016 11:53:08 PM;Derrick Favors;Favors was held to 11 points (4-9 FG, 3-4 FT), five rebounds, two blocks and an assist in 22 minutes on Thursday in a loss to the Wizards.;http://stats.nba.com/player/player/#!/202324;
2/18/2016 1:03:19 PM;Trey Burke;Burke (illness) was present at Thursday's shootaround and should be available for the game later in the evening against the Wizards, Tony Jones of the Salt Lake Tribune reports.;http://stats.nba.com/player/player/#!/203504;
2/18/2016 1:03:17 PM;Shelvin Mack;Mack was traded to the Jazz on Thursday in exchange for a second round pick, Adrian Wojnarowski of Yahoo! Sports reports.;http://stats.nba.com/player/player/#!/202714;
2/17/2016 6:18:12 PM;Trey Burke;Burke (illness) was present for Wednesday's practice, Jody Genessy of the Deseret News reports.;http://stats.nba.com/player/player/#!/203504;
2/17/2016 6:18:12 PM;Tibor Pleiss;Pleiss was assigned to the D-League's Idaho Stampede on Wednesday, Jody Genessy of the Deseret News reports.;http://stats.nba.com/player/player/#!/202353;
2/17/2016 4:13:14 PM;Tibor Pleiss;Pleiss was recalled from the D-League on Wednesday.;http://stats.nba.com/player/player/#!/202353;
2/11/2016 12:43:24 PM;Rudy Gobert;Gobert compiled 12 points (3-4 FG, 6-8 FT), 14 rebounds, two blocks, and one assist across 33 minutes in Wednesday's 100-96 loss to the Pelicans.;http://stats.nba.com/player/player/#!/203497;
2/11/2016 12:43:24 PM;Jeff Withey;Withey (coach's decision) didn't see the floor in Wednesday's 100-96 loss to the Pelicans.;http://stats.nba.com/player/player/#!/203481;
2/11/2016 12:43:23 PM;Joe Ingles;Ingles was held scoreless (0-1 FG, 0-1 3Pt) and added one assist over 11 minutes in Wednesday's 100-96 loss to the Pelicans.;http://stats.nba.com/player/player/#!/204060;
2/11/2016 11:03:15 AM;Trey Burke;Burke (illness) was held out of Wednesday's 100-96 loss to the Pelicans.;http://stats.nba.com/player/player/#!/203504;
2/10/2016 11:23:16 PM;Derrick Favors;Favors scored 29 points (11-15 FG, 2-9 3PT, 5-7 FT), collected five rebounds and contributed two assists over 39 minutes during Wednesday's loss to the Pelicans.;http://stats.nba.com/player/player/#!/202324;
2/10/2016 11:23:16 PM;Chris Johnson;Johnson suffered a sprained right big toe in Wednesday's game against New Orleans, Jody Genessy of the Deseret News reports.;http://stats.nba.com/player/player/#!/203187;
2/10/2016 11:23:13 PM;Rodney Hood;Hood contributed 15 points (5-12 FG, 2-5 3Pt, 3-3 FT) to go with six rebounds and three assists in 35 minutes during Wednesday's loss to the Pelicans.;http://stats.nba.com/player/player/#!/203918;
