time;player;headline;playerlink;
2/22/2016 3:23:22 PM;Alan Anderson;Anderson (ankle) practiced fully Monday, Jorge Castillo of The Washington Post reports.;http://stats.nba.com/player/player/#!/101187;
2/22/2016 3:23:22 PM;Gary Neal;Neal (knee) was a full participant in Monday's practice, Jorge Castillo of The Washington Post reports.;http://stats.nba.com/player/player/#!/202390;
2/22/2016 10:23:27 AM;Alan Anderson;Anderson (ankle) believes he'll be able to make his season debut either Tuesday against the Pelicans or Wednesday against the Bulls, Jorge Castillo of The Washington Post reports.;http://stats.nba.com/player/player/#!/101187;
2/21/2016 1:03:14 AM;Marcin Gortat;Gortat had 14 points (6-12 FG, 2-5 FT), 13 rebounds, two assists and a steal in 31 minutes on Saturday in a loss against the Heat.;http://stats.nba.com/player/player/#!/101162;
2/21/2016 12:38:19 AM;John Wall;Wall had only 12 points (5-17 FG, 0-3 3Pt, 2-2 FT), four assists, four rebounds and a block in 33 minutes on Saturday in a loss to the Heat.;http://stats.nba.com/player/player/#!/202322;
2/21/2016 12:38:19 AM;Bradley Beal;Beal scored 19 points (8-20 FG, 2-8 3Pt, 1-4 FT) to go along with three rebounds and an assist in 29 minutes on Saturday in a loss to the Heat.;http://stats.nba.com/player/player/#!/203078;
2/21/2016 12:38:18 AM;Jared Dudley;Dudley had 16 points (7-12 FG, 1-4 3Pt, 1-1 FT), five rebounds and two assists in 26 minutes on Saturday in a loss to the Heat.;http://stats.nba.com/player/player/#!/201162;
2/20/2016 7:13:12 PM;Markieff Morris;Morris is not in the starting lineup for Saturday's game against Miami, Jorge Castillo of the Washington Post reports.;http://stats.nba.com/player/player/#!/202693;
2/20/2016 6:48:17 PM;Nene Hilario;Hilario (rest) will play Saturday against Miami, Jorge Castillo of the Washington Post reports.;http://stats.nba.com/player/player/#!/2403;
2/20/2016 6:48:17 PM;Bradley Beal;Beal will be available off the bench for Saturday's game against Miami, Jorge Castillo of the Washington Post reports.;http://stats.nba.com/player/player/#!/203078;
2/20/2016 6:23:12 PM;Alan Anderson;Anderson (ankle) has been ruled out for Saturday's game against Miami.;http://stats.nba.com/player/player/#!/101187;
2/20/2016 4:38:17 AM;Bradley Beal;Beal recorded 17 points (7-10 FG, 2-4 3Pt, 1-3 FT), three assists, one rebound, and one steal in 26 minutes during the Wizards' 98-86 win over the Pistons on Friday.;http://stats.nba.com/player/player/#!/203078;
2/20/2016 4:38:17 AM;Markieff Morris;Morris managed six points (2-8 FG, 0-2 3Pt, 2-2 FT) and two rebounds in 22 minutes during the Wizards' 98-86 win against the Pistons on Friday.;http://stats.nba.com/player/player/#!/202693;
2/19/2016 11:13:12 PM;Nene Hilario;Hilario said after Friday's game that he's unlikely to play Saturday against the Heat, Jorge Castillo of the Washington Post reports.;http://stats.nba.com/player/player/#!/2403;
2/19/2016 7:03:13 PM;Bradley Beal;Beal will be available Friday night against the Pistons, but will come off the bench, Jorge Castillo of the Washington Post reports.;http://stats.nba.com/player/player/#!/203078;
2/19/2016 6:38:14 PM;Markieff Morris;Morris will make his Wizards debut Friday against the Pistons.;http://stats.nba.com/player/player/#!/202693;
2/19/2016 6:38:14 PM;Markieff Morris;Morris will be coming off the bench for Friday's game against the Pistons, Jorge Castillo of the Washington Post reports.;http://stats.nba.com/player/player/#!/202693;
2/19/2016 5:48:16 PM;Gary Neal;Neal (knee) will not play Friday against the Pistons.;http://stats.nba.com/player/player/#!/202390;
2/19/2016 5:48:15 PM;Alan Anderson;Anderson (ankle) will not play Friday against the Pistons.;http://stats.nba.com/player/player/#!/101187;
2/19/2016 5:48:15 PM;Markieff Morris;Morris' status for Friday's game against Detroit remains up in the air, CSN's J. Michael reports.;http://stats.nba.com/player/player/#!/202693;
2/18/2016 11:53:09 PM;Jared Dudley;Dudley was held to four points (1-6 FG, 1-3 3Pt, 1-2 FT), five assists, two rebounds and two blocks in 36 minutes on Thursday in a win against the Jazz.;http://stats.nba.com/player/player/#!/201162;
2/18/2016 11:28:08 PM;Bradley Beal;Beal scored 16 points (7-14 FG, 2-4 3Pt) to go along with three assists, three rebounds and a block in 24 minutes on Thursday in a win against the Jazz.;http://stats.nba.com/player/player/#!/203078;
